inventory_id,product_id,store_id,warehouse_id,date_id,stock_on_hand,stock_in,stock_out,reorder_point,lead_time_days,expiry_date,batch_number,batch_id
91,51,546,2,2024-10-15,110,110,0,30,4,2025-02-11,BN00091,51-2024-10-15
92,251,976,2,2025-03-11,73,82,9,30,5,2025-07-17,BN00092,251-2025-03-11
93,1584,575,2,2023-11-19,43,64,21,30,2,2024-02-18,BN00093,1584-2023-11-19
94,1120,262,4,2022-12-30,130,130,0,30,1,2023-06-26,BN00094,1120-2022-12-30
95,1904,287,3,2024-05-03,118,128,10,30,5,2024-10-07,BN00095,1904-2024-05-03
96,164,1812,1,2024-04-21,80,94,14,30,5,2024-07-23,BN00096,164-2024-04-21
97,1945,2475,4,2022-09-29,62,71,9,30,5,2023-03-11,BN00097,1945-2022-09-29
98,287,155,1,2023-12-17,92,92,0,30,1,2024-05-12,BN00098,287-2023-12-17
99,1713,923,2,2022-09-05,77,78,1,30,5,2022-12-23,BN00099,1713-2022-09-05
100,1440,677,4,2023-08-23,139,139,0,30,1,2023-11-21,BN00100,1440-2023-08-23
101,1401,2406,1,2025-02-11,138,138,0,30,4,2025-07-23,BN00101,1401-2025-02-11
102,1431,2965,4,2023-09-12,53,53,0,30,1,2024-01-31,BN00102,1431-2023-09-12
103,1555,355,4,2025-02-01,42,53,11,30,2,2025-07-23,BN00103,1555-2025-02-01
104,310,2589,1,2024-05-15,68,86,18,30,1,2024-10-30,BN00104,310-2024-05-15
105,586,1223,8,2024-09-24,48,48,0,30,5,2024-12-29,BN00105,586-2024-09-24
106,843,1167,1,2023-10-15,62,62,0,30,3,2024-03-07,BN00106,843-2023-10-15
107,212,1767,6,2023-06-23,41,56,15,30,1,2023-11-22,BN00107,212-2023-06-23
108,1775,1820,1,2024-05-19,56,67,11,30,1,2024-09-29,BN00108,1775-2024-05-19
109,789,1407,5,2022-01-05,126,128,2,30,2,2022-04-21,BN00109,789-2022-01-05
110,1973,2486,2,2022-10-11,112,118,6,30,1,2023-03-07,BN00110,1973-2022-10-11
111,1366,1788,2,2024-07-11,102,116,14,30,3,2024-10-18,BN00111,1366-2024-07-11
112,1258,2078,4,2023-11-20,42,59,17,30,5,2024-05-10,BN00112,1258-2023-11-20
113,1610,1672,4,2023-07-06,31,31,0,30,1,2023-11-05,BN00113,1610-2023-07-06
114,301,1494,8,2023-08-30,72,81,9,30,5,2024-02-19,BN00114,301-2023-08-30
115,1114,686,2,2022-06-17,120,121,1,30,4,2022-12-13,BN00115,1114-2022-06-17
116,1899,1323,4,2022-02-05,134,141,7,30,3,2022-06-03,BN00116,1899-2022-02-05
117,667,2040,5,2023-02-06,42,42,0,30,5,2023-05-20,BN00117,667-2023-02-06
118,1935,2298,8,2023-02-27,100,100,0,30,5,2023-07-26,BN00118,1935-2023-02-27
119,43,2625,8,2024-02-19,18,30,12,30,5,2024-08-02,BN00119,43-2024-02-19
120,826,2135,8,2024-03-17,53,56,3,30,4,2024-08-13,BN00120,826-2024-03-17
121,987,2013,2,2022-08-12,148,148,0,30,3,2022-12-15,BN00121,987-2022-08-12
122,445,2322,4,2025-03-24,88,117,29,30,4,2025-09-08,BN00122,445-2025-03-24
123,801,986,6,2022-01-16,38,45,7,30,3,2022-06-04,BN00123,801-2022-01-16
124,110,2659,2,2022-01-25,126,126,0,30,2,2022-05-06,BN00124,110-2022-01-25
125,632,2812,2,2024-06-27,57,63,6,30,5,2024-10-14,BN00125,632-2024-06-27
126,1039,2214,5,2022-08-01,132,138,6,30,5,2022-12-13,BN00126,1039-2022-08-01
127,8,1186,3,2024-07-14,50,50,0,30,3,2024-12-12,BN00127,8-2024-07-14
128,962,784,7,2023-03-14,113,113,0,30,2,2023-07-27,BN00128,962-2023-03-14
129,1579,417,4,2023-12-28,121,124,3,30,1,2024-05-24,BN00129,1579-2023-12-28
130,1289,1291,8,2024-01-19,134,134,0,30,1,2024-06-27,BN00130,1289-2024-01-19
131,1034,265,8,2024-01-25,36,36,0,30,2,2024-07-14,BN00131,1034-2024-01-25
132,1749,1276,7,2023-11-03,88,88,0,30,3,2024-03-24,BN00132,1749-2023-11-03
133,1898,2870,8,2024-08-16,62,67,5,30,2,2024-12-21,BN00133,1898-2024-08-16
134,533,542,7,2022-05-05,62,72,10,30,3,2022-10-06,BN00134,533-2022-05-05
135,871,2878,2,2024-06-30,51,51,0,30,3,2024-11-05,BN00135,871-2024-06-30
136,2031,1236,1,2022-03-20,49,52,3,30,2,2022-06-30,BN00136,2031-2022-03-20
137,186,1647,4,2024-06-09,103,103,0,30,5,2024-11-14,BN00137,186-2024-06-09
138,227,205,4,2023-12-28,74,74,0,30,3,2024-04-03,BN00138,227-2023-12-28
139,613,1189,4,2024-03-24,37,37,0,30,2,2024-08-01,BN00139,613-2024-03-24
140,403,477,4,2023-02-24,29,36,7,30,4,2023-08-14,BN00140,403-2023-02-24
141,1350,1333,3,2024-02-23,62,69,7,30,2,2024-08-02,BN00141,1350-2024-02-23
142,1103,1847,5,2022-07-23,100,100,0,30,4,2022-12-05,BN00142,1103-2022-07-23
143,1292,1727,7,2022-06-02,89,92,3,30,1,2022-09-10,BN00143,1292-2022-06-02
144,2004,84,7,2022-03-30,82,93,11,30,4,2022-08-03,BN00144,2004-2022-03-30
145,1782,241,2,2024-12-05,108,112,4,30,1,2025-04-11,BN00145,1782-2024-12-05
146,199,1948,6,2024-11-28,32,32,0,30,2,2025-03-08,BN00146,199-2024-11-28
147,1594,776,3,2022-07-31,55,55,0,30,1,2022-12-17,BN00147,1594-2022-07-31
148,849,300,2,2022-08-26,97,97,0,30,4,2022-11-27,BN00148,849-2022-08-26
149,1319,2567,4,2022-11-11,130,130,0,30,2,2023-05-07,BN00149,1319-2022-11-11
150,393,177,5,2022-12-26,60,60,0,30,5,2023-04-13,BN00150,393-2022-12-26
151,1797,2193,4,2024-05-28,106,113,7,30,4,2024-09-29,BN00151,1797-2024-05-28
152,540,2228,4,2022-01-02,143,145,2,30,1,2022-04-09,BN00152,540-2022-01-02
153,1799,854,1,2024-01-27,83,89,6,30,5,2024-05-03,BN00153,1799-2024-01-27
154,82,1918,4,2023-10-11,112,112,0,30,1,2024-02-03,BN00154,82-2023-10-11
155,1487,390,7,2023-05-20,44,47,3,30,2,2023-10-30,BN00155,1487-2023-05-20
156,1129,1386,3,2025-01-05,128,135,7,30,4,2025-05-21,BN00156,1129-2025-01-05
157,1357,2755,7,2024-10-20,106,106,0,30,2,2025-04-17,BN00157,1357-2024-10-20
158,1871,848,5,2023-07-13,59,72,13,30,3,2023-11-26,BN00158,1871-2023-07-13
159,938,2276,4,2023-09-30,65,65,0,30,2,2024-03-01,BN00159,938-2023-09-30
160,972,2504,6,2025-03-14,116,127,11,30,4,2025-09-10,BN00160,972-2025-03-14
161,1477,1839,4,2022-11-18,113,113,0,30,5,2023-04-16,BN00161,1477-2022-11-18
162,34,627,4,2024-08-04,110,110,0,30,1,2024-11-08,BN00162,34-2024-08-04
163,459,1209,7,2023-07-23,41,41,0,30,3,2023-11-06,BN00163,459-2023-07-23
164,184,2628,6,2023-04-26,70,70,0,30,3,2023-08-25,BN00164,184-2023-04-26
165,1165,2766,8,2025-02-08,39,49,10,30,2,2025-07-03,BN00165,1165-2025-02-08
166,1906,1715,3,2022-11-05,48,52,4,30,3,2023-03-05,BN00166,1906-2022-11-05
167,1498,2972,1,2022-12-15,106,106,0,30,1,2023-03-24,BN00167,1498-2022-12-15
168,1633,588,5,2023-02-22,41,49,8,30,5,2023-08-16,BN00168,1633-2023-02-22
169,1975,1321,8,2024-01-20,91,98,7,30,2,2024-04-27,BN00169,1975-2024-01-20
170,563,2793,1,2022-05-21,57,69,12,30,3,2022-09-01,BN00170,563-2022-05-21
171,1080,2611,4,2022-08-01,137,140,3,30,4,2023-01-22,BN00171,1080-2022-08-01
172,651,1892,4,2024-07-01,93,100,7,30,4,2024-10-15,BN00172,651-2024-07-01
173,1952,455,1,2023-09-14,58,66,8,30,1,2024-03-08,BN00173,1952-2023-09-14
174,1702,1886,1,2023-01-08,64,80,16,30,4,2023-05-08,BN00174,1702-2023-01-08
175,1226,2699,4,2023-10-02,101,101,0,30,2,2024-02-24,BN00175,1226-2023-10-02
176,163,755,4,2024-05-12,47,55,8,30,4,2024-10-15,BN00176,163-2024-05-12
177,6,2374,2,2025-03-12,130,135,5,30,3,2025-06-19,BN00177,6-2025-03-12
178,81,2363,4,2023-10-15,104,105,1,30,3,2024-02-02,BN00178,81-2023-10-15
179,1063,2044,6,2023-03-07,65,84,19,30,5,2023-07-03,BN00179,1063-2023-03-07
180,641,1983,8,2023-02-12,41,42,1,30,3,2023-05-26,BN00180,641-2023-02-12
181,969,513,6,2022-10-22,21,32,11,30,1,2023-04-05,BN00181,969-2022-10-22
182,1263,1393,5,2024-05-09,97,103,6,30,2,2024-10-08,BN00182,1263-2024-05-09
183,622,765,4,2023-03-22,129,129,0,30,1,2023-06-27,BN00183,622-2023-03-22
184,712,720,4,2023-02-20,30,44,14,30,5,2023-08-03,BN00184,712-2023-02-20
185,149,2885,3,2022-06-09,64,64,0,30,4,2022-11-01,BN00185,149-2022-06-09
186,761,1929,2,2024-05-04,142,142,0,30,2,2024-10-16,BN00186,761-2024-05-04
187,1374,2763,7,2022-08-19,149,149,0,30,3,2023-02-03,BN00187,1374-2022-08-19
188,566,2925,4,2024-09-26,37,46,9,30,5,2025-01-31,BN00188,566-2024-09-26
189,1307,1332,7,2025-03-03,102,102,0,30,5,2025-07-03,BN00189,1307-2025-03-03
190,1817,1783,3,2024-01-30,31,31,0,30,4,2024-05-08,BN00190,1817-2024-01-30
191,1540,810,4,2024-05-06,71,81,10,30,3,2024-08-10,BN00191,1540-2024-05-06
192,756,497,8,2023-10-20,99,99,0,30,3,2024-02-22,BN00192,756-2023-10-20
193,875,1835,4,2022-11-06,92,92,0,30,1,2023-05-05,BN00193,875-2022-11-06
194,1771,1771,8,2023-08-27,67,67,0,30,3,2023-12-06,BN00194,1771-2023-08-27
195,1000,825,7,2025-04-25,131,140,9,30,2,2025-09-13,BN00195,1000-2025-04-25
196,194,1704,4,2023-09-11,113,113,0,30,1,2024-02-15,BN00196,194-2023-09-11
197,752,967,4,2024-02-16,84,88,4,30,2,2024-06-21,BN00197,752-2024-02-16
198,1511,2913,3,2022-09-10,22,32,10,30,1,2023-01-15,BN00198,1511-2022-09-10
199,263,940,8,2022-05-25,61,66,5,30,1,2022-10-29,BN00199,263-2022-05-25
200,1584,1176,4,2024-05-06,81,85,4,30,5,2024-08-08,BN00200,1584-2024-05-06
201,1958,398,4,2023-09-17,38,53,15,30,4,2024-01-11,BN00201,1958-2023-09-17
202,1439,923,2,2022-05-16,40,48,8,30,3,2022-09-07,BN00202,1439-2022-05-16
203,41,1236,1,2024-05-08,55,79,24,30,2,2024-09-27,BN00203,41-2024-05-08
204,912,2488,3,2024-02-21,106,111,5,30,1,2024-05-28,BN00204,912-2024-02-21
205,1972,2677,5,2022-08-24,57,64,7,30,2,2022-12-11,BN00205,1972-2022-08-24
206,1098,51,8,2025-01-18,36,41,5,30,4,2025-07-12,BN00206,1098-2025-01-18
207,1691,447,2,2022-01-05,142,142,0,30,2,2022-05-17,BN00207,1691-2022-01-05
208,1630,2083,2,2023-08-03,50,79,29,30,1,2024-01-10,BN00208,1630-2023-08-03
209,782,2029,4,2024-07-13,42,45,3,30,1,2025-01-08,BN00209,782-2024-07-13
210,1867,1211,2,2022-12-08,57,57,0,30,5,2023-03-12,BN00210,1867-2022-12-08
211,476,2558,2,2023-11-17,90,100,10,30,1,2024-04-28,BN00211,476-2023-11-17
212,783,575,2,2024-01-26,54,54,0,30,1,2024-06-20,BN00212,783-2024-01-26
213,2004,216,4,2025-04-02,49,49,0,30,3,2025-08-21,BN00213,2004-2025-04-02
214,258,2080,3,2024-05-16,142,142,0,30,4,2024-10-04,BN00214,258-2024-05-16
215,68,1280,4,2025-03-27,32,32,0,30,5,2025-09-10,BN00215,68-2025-03-27
216,1313,2082,6,2024-12-24,82,89,7,30,4,2025-03-26,BN00216,1313-2024-12-24
217,387,1229,4,2022-06-04,65,75,10,30,4,2022-10-25,BN00217,387-2022-06-04
218,1315,1969,4,2022-09-08,134,143,9,30,3,2023-02-13,BN00218,1315-2022-09-08
219,919,2236,4,2022-05-31,85,88,3,30,5,2022-10-29,BN00219,919-2022-05-31
220,892,1914,2,2023-04-29,105,105,0,30,1,2023-08-22,BN00220,892-2023-04-29
221,1626,481,4,2024-11-29,146,146,0,30,1,2025-05-01,BN00221,1626-2024-11-29
222,178,623,4,2023-09-29,68,76,8,30,5,2024-03-18,BN00222,178-2023-09-29
223,1546,2941,6,2023-09-23,76,76,0,30,3,2024-01-13,BN00223,1546-2023-09-23
224,174,2487,4,2022-07-08,125,135,10,30,4,2022-10-15,BN00224,174-2022-07-08
225,906,2074,4,2024-12-26,106,116,10,30,1,2025-05-28,BN00225,906-2024-12-26
226,292,1671,4,2023-02-26,58,65,7,30,5,2023-06-30,BN00226,292-2023-02-26
227,721,2690,4,2023-10-05,135,135,0,30,5,2024-02-28,BN00227,721-2023-10-05
228,821,816,4,2023-10-28,116,116,0,30,5,2024-02-14,BN00228,821-2023-10-28
229,1888,2268,4,2024-07-10,91,97,6,30,1,2024-10-28,BN00229,1888-2024-07-10
230,1091,901,4,2024-07-12,40,49,9,30,1,2024-11-15,BN00230,1091-2024-07-12
231,542,2177,2,2023-04-30,136,139,3,30,4,2023-09-15,BN00231,542-2023-04-30
232,553,1581,3,2023-04-14,55,55,0,30,3,2023-09-21,BN00232,553-2023-04-14
233,689,2362,1,2022-09-24,63,69,6,30,5,2023-03-18,BN00233,689-2022-09-24
234,837,1316,6,2024-09-17,125,143,18,30,3,2025-02-17,BN00234,837-2024-09-17
235,366,381,7,2022-03-28,141,141,0,30,4,2022-08-30,BN00235,366-2022-03-28
236,778,1722,1,2022-06-07,35,48,13,30,5,2022-10-28,BN00236,778-2022-06-07
237,1094,476,4,2024-01-29,110,127,17,30,4,2024-05-16,BN00237,1094-2024-01-29
238,1195,1959,4,2023-12-02,142,145,3,30,2,2024-05-11,BN00238,1195-2023-12-02
239,557,1777,4,2023-03-09,90,95,5,30,2,2023-09-05,BN00239,557-2023-03-09
240,1869,1369,3,2023-08-01,54,54,0,30,1,2023-12-24,BN00240,1869-2023-08-01
241,1152,1794,5,2024-12-04,77,83,6,30,5,2025-05-23,BN00241,1152-2024-12-04
242,492,47,4,2022-10-10,131,141,10,30,1,2023-01-20,BN00242,492-2022-10-10
243,1901,2520,6,2023-04-28,70,89,19,30,1,2023-08-14,BN00243,1901-2023-04-28
244,1943,471,8,2024-09-14,97,103,6,30,3,2024-12-29,BN00244,1943-2024-09-14
245,900,951,7,2023-10-01,48,52,4,30,3,2024-02-14,BN00245,900-2023-10-01
246,1535,324,8,2025-01-27,29,54,25,30,4,2025-07-26,BN00246,1535-2025-01-27
247,509,370,7,2022-03-04,99,99,0,30,2,2022-08-07,BN00247,509-2022-03-04
248,575,170,8,2024-10-09,44,45,1,30,2,2025-03-04,BN00248,575-2024-10-09
249,1142,122,2,2023-04-20,103,106,3,30,3,2023-07-20,BN00249,1142-2023-04-20
250,188,138,4,2025-01-27,24,34,10,30,3,2025-06-11,BN00250,188-2025-01-27
251,1073,1631,8,2024-11-26,95,105,10,30,4,2025-03-06,BN00251,1073-2024-11-26
252,864,1613,4,2023-08-03,127,137,10,30,5,2024-01-11,BN00252,864-2023-08-03
253,130,2544,4,2024-11-23,46,62,16,30,2,2025-05-19,BN00253,130-2024-11-23
254,1415,1772,2,2024-04-18,32,32,0,30,4,2024-10-03,BN00254,1415-2024-04-18
255,19,635,4,2023-01-08,46,57,11,30,4,2023-05-11,BN00255,19-2023-01-08
256,1741,379,3,2024-12-09,97,101,4,30,2,2025-05-08,BN00256,1741-2024-12-09
257,111,2880,3,2024-09-20,134,139,5,30,5,2025-02-18,BN00257,111-2024-09-20
258,1806,736,1,2023-10-02,80,92,12,30,2,2024-03-02,BN00258,1806-2023-10-02
259,114,1486,4,2022-05-11,74,85,11,30,3,2022-09-13,BN00259,114-2022-05-11
260,260,342,3,2023-03-21,135,145,10,30,5,2023-08-22,BN00260,260-2023-03-21
261,1204,1024,8,2022-04-11,21,30,9,30,5,2022-09-03,BN00261,1204-2022-04-11
262,795,277,4,2023-09-15,65,77,12,30,2,2024-02-21,BN00262,795-2023-09-15
263,1856,2479,7,2025-01-03,146,147,1,30,2,2025-06-02,BN00263,1856-2025-01-03
264,268,226,4,2022-09-22,62,75,13,30,3,2022-12-26,BN00264,268-2022-09-22
265,1694,2888,1,2022-06-13,49,51,2,30,5,2022-12-10,BN00265,1694-2022-06-13
266,1089,1879,1,2025-01-12,69,69,0,30,4,2025-06-12,BN00266,1089-2025-01-12
267,990,2365,1,2024-02-18,85,90,5,30,1,2024-07-03,BN00267,990-2024-02-18
268,1952,303,8,2024-05-28,27,35,8,30,1,2024-11-23,BN00268,1952-2024-05-28
269,1355,1502,8,2022-06-05,113,119,6,30,2,2022-09-29,BN00269,1355-2022-06-05
270,1562,1749,6,2023-09-03,114,126,12,30,5,2024-02-02,BN00270,1562-2023-09-03
271,979,34,7,2022-10-21,65,65,0,30,5,2023-02-06,BN00271,979-2022-10-21
272,1577,2975,4,2022-03-05,48,64,16,30,3,2022-07-17,BN00272,1577-2022-03-05
273,1155,1946,4,2024-05-11,59,61,2,30,1,2024-10-15,BN00273,1155-2024-05-11
274,285,992,7,2024-07-11,34,36,2,30,4,2024-10-25,BN00274,285-2024-07-11
275,1036,2071,1,2023-11-19,52,58,6,30,1,2024-05-08,BN00275,1036-2023-11-19
276,1288,2440,4,2025-04-11,53,53,0,30,3,2025-09-16,BN00276,1288-2025-04-11
277,2004,432,4,2025-05-25,71,71,0,30,5,2025-08-23,BN00277,2004-2025-05-25
278,1113,844,4,2024-02-18,73,85,12,30,2,2024-06-28,BN00278,1113-2024-02-18
279,1759,1886,1,2022-03-02,80,86,6,30,4,2022-06-03,BN00279,1759-2022-03-02
280,1271,457,4,2025-05-12,129,129,0,30,3,2025-10-04,BN00280,1271-2025-05-12
281,19,2954,4,2024-09-15,59,59,0,30,3,2025-02-13,BN00281,19-2024-09-15
282,124,659,2,2025-03-23,45,45,0,30,2,2025-09-13,BN00282,124-2025-03-23
283,1080,1670,2,2024-09-22,94,94,0,30,5,2024-12-23,BN00283,1080-2024-09-22
284,83,1086,4,2024-07-25,53,72,19,30,2,2024-11-14,BN00284,83-2024-07-25
285,1918,2962,4,2023-12-09,123,125,2,30,2,2024-04-08,BN00285,1918-2023-12-09
286,1060,2016,4,2024-12-23,57,63,6,30,4,2025-05-12,BN00286,1060-2024-12-23
287,717,873,1,2023-10-16,142,148,6,30,4,2024-03-28,BN00287,717-2023-10-16
288,1920,850,4,2022-04-30,84,92,8,30,3,2022-08-22,BN00288,1920-2022-04-30
289,210,1062,4,2022-08-08,78,90,12,30,3,2023-01-01,BN00289,210-2022-08-08
290,156,1430,3,2022-01-07,109,112,3,30,1,2022-06-11,BN00290,156-2022-01-07
