product_id,product_name,brand,category,sub_category,source_type,factory_id,shelf_life,packaging_type,unit_size,sku,last_modified
25,Wake-Up 247 Nước tăng lực 330ml,Wake-Up 247,Đồ uống,Nước tăng lực,inhouse,4.0,245,Chai nhựa,330ml,SKU00025,2024-07-22 00:24:59.611097
26,Wake-Up 247 Nước tăng lực 500ml,Wake-Up 247,Đồ uống,Nước tăng lực,inhouse,4.0,351,Chai nhựa,500ml,SKU00026,2025-06-04 23:27:28.058330
27,CHIN-SU Nước mắm 500ml,CHIN-SU,Nước mắm,Nước mắm,inhouse,5.0,331,Chai nhựa,500ml,SKU00027,2024-11-08 14:05:35.740021
28,CHIN-SU Nước mắm 750ml,CHIN-SU,Nước mắm,Nước mắm,inhouse,5.0,606,Chai nhựa,750ml,SKU00028,2025-04-08 16:07:17.334095
29,CHIN-SU Nước mắm 1L,CHIN-SU,Nước mắm,Nước mắm,inhouse,5.0,417,Hộp giấy,1L,SKU00029,2025-03-30 21:51:00.380586
30,Ponnie Xúc xích 200g,Ponnie,Thịt nguội,Xúc xích,inhouse,6.0,614,Túi,200g,SKU00030,2024-12-30 06:01:43.371967
31,Ponnie Xúc xích 300g,Ponnie,Thịt nguội,Xúc xích,inhouse,6.0,426,Túi,300g,SKU00031,2024-08-03 09:59:52.852428
32,Ponnie Xúc xích 500g,Ponnie,Thịt nguội,Xúc xích,inhouse,6.0,434,Túi,500g,SKU00032,2025-05-03 10:21:43.112827
33,Anco Xúc xích 250g,Anco,Thịt nguội,Xúc xích,inhouse,6.0,624,Túi,250g,SKU00033,2024-10-07 16:03:38.103153
34,Anco Xúc xích 500g,Anco,Thịt nguội,Xúc xích,inhouse,6.0,444,Túi,500g,SKU00034,2024-08-30 18:30:31.839308
35,Vikoda Nước khoáng 350ml,Vikoda,Nước khoáng,Nước khoáng,inhouse,7.0,685,Chai nhựa,350ml,SKU00035,2024-07-06 10:10:15.148324
36,Vikoda Nước khoáng 500ml,Vikoda,Nước khoáng,Nước khoáng,inhouse,7.0,286,Chai nhựa,500ml,SKU00036,2024-09-10 12:21:47.089094
37,Vikoda Nước khoáng 1L,Vikoda,Nước khoáng,Nước khoáng,inhouse,7.0,418,Hộp giấy,1L,SKU00037,2024-07-09 18:17:08.428638
38,Acecook Science Thượng Hạng 330ml,Acecook,Distributed,Science,distributed,,117,Chai nhựa,330ml,SKU00038,2025-03-15 18:21:35.190946
39,Unilever By Đặc Biệt 700ml,Unilever,Distributed,By,distributed,,590,Chai nhựa,700ml,SKU00039,2024-08-16 14:27:50.401754
40,Unilever Long Thượng Hạng 700ml,Unilever,Distributed,Long,distributed,,205,Chai nhựa,700ml,SKU00040,2024-11-15 07:37:50.188178
41,Vinamilk Republican Vị Mới 700ml,Vinamilk,Distributed,Republican,distributed,,243,Chai nhựa,700ml,SKU00041,2024-07-26 06:15:26.368549
42,Nestlé Few Premium 500g,Nestlé,Distributed,Few,distributed,,487,Túi,500g,SKU00042,2024-11-08 21:39:24.167153
43,Vinamilk Both Premium 500ml,Vinamilk,Distributed,Both,distributed,,716,Chai nhựa,500ml,SKU00043,2024-10-09 17:48:29.956950
44,Nestlé Enough Dinh Dưỡng 500ml,Nestlé,Distributed,Enough,distributed,,238,Chai nhựa,500ml,SKU00044,2025-06-01 17:56:42.540327
45,Nestlé Item Đặc Biệt 100g,Nestlé,Distributed,Item,distributed,,131,Túi,100g,SKU00045,2025-01-15 16:26:27.875437
46,Acecook Impact Đặc Biệt 500ml,Acecook,Distributed,Impact,distributed,,551,Chai nhựa,500ml,SKU00046,2024-11-01 17:54:18.815212
47,TH True Milk Hold Thượng Hạng 500ml,TH True Milk,Distributed,Hold,distributed,,422,Chai nhựa,500ml,SKU00047,2025-03-25 20:50:52.215383
48,PepsiCo Him Đặc Biệt 700ml,PepsiCo,Distributed,Him,distributed,,291,Chai nhựa,700ml,SKU00048,2024-08-25 03:11:07.979027
49,Orion Culture Vị Mới 330ml,Orion,Distributed,Culture,distributed,,500,Chai nhựa,330ml,SKU00049,2025-01-25 16:16:04.234630
50,Unilever Would Vị Mới 500g,Unilever,Distributed,Would,distributed,,485,Túi,500g,SKU00050,2025-03-27 10:43:07.022597
51,Vinamilk Which Đặc Biệt 250ml,Vinamilk,Distributed,Which,distributed,,102,Chai nhựa,250ml,SKU00051,2025-03-23 22:45:55.408794
52,Suntory Great Vị Mới 250ml,Suntory,Distributed,Great,distributed,,516,Chai nhựa,250ml,SKU00052,2025-03-27 01:28:23.924704
53,Acecook Often Dinh Dưỡng 330ml,Acecook,Distributed,Often,distributed,,165,Chai nhựa,330ml,SKU00053,2024-08-01 08:55:03.017462
54,Orion Risk Premium 1kg,Orion,Distributed,Risk,distributed,,345,Túi,1kg,SKU00054,2025-03-14 10:55:30.494842
55,Suntory Military Đặc Biệt 700ml,Suntory,Distributed,Military,distributed,,507,Chai nhựa,700ml,SKU00055,2025-01-15 12:49:14.660166
56,Vinamilk Especially Dinh Dưỡng 700ml,Vinamilk,Distributed,Especially,distributed,,376,Chai nhựa,700ml,SKU00056,2024-06-20 17:13:56.718924
57,Suntory Best Premium 250ml,Suntory,Distributed,Best,distributed,,588,Chai nhựa,250ml,SKU00057,2025-04-21 15:32:57.419765
58,Acecook Carry Đặc Biệt 700ml,Acecook,Distributed,Carry,distributed,,481,Chai nhựa,700ml,SKU00058,2024-11-08 19:42:20.638916
59,Unilever Finish Đặc Biệt 1L,Unilever,Distributed,Finish,distributed,,161,Hộp giấy,1L,SKU00059,2024-08-24 05:05:21.620152
60,P&G East Đặc Biệt 1L,P&G,Distributed,East,distributed,,585,Hộp giấy,1L,SKU00060,2024-08-24 11:59:32.809974
61,Vinamilk Gun Vị Mới 250ml,Vinamilk,Distributed,Gun,distributed,,614,Chai nhựa,250ml,SKU00061,2024-06-24 12:29:17.127850
62,Unilever Provide Đặc Biệt 330ml,Unilever,Distributed,Provide,distributed,,95,Chai nhựa,330ml,SKU00062,2025-03-20 18:17:08.528008
63,PepsiCo Call Thượng Hạng 700ml,PepsiCo,Distributed,Call,distributed,,590,Chai nhựa,700ml,SKU00063,2025-01-22 23:20:50.727788
64,Vinamilk Born Vị Mới 330ml,Vinamilk,Distributed,Born,distributed,,364,Chai nhựa,330ml,SKU00064,2025-04-02 02:10:32.690294
65,Orion Article Thượng Hạng 500ml,Orion,Distributed,Article,distributed,,215,Chai nhựa,500ml,SKU00065,2024-06-19 10:51:47.057920
66,P&G Imagine Vị Mới 1kg,P&G,Distributed,Imagine,distributed,,104,Túi,1kg,SKU00066,2024-12-25 12:36:59.313395
67,Acecook Month Dinh Dưỡng 500ml,Acecook,Distributed,Month,distributed,,461,Chai nhựa,500ml,SKU00067,2025-06-04 10:44:49.054219
68,Ajinomoto Might Premium 250ml,Ajinomoto,Distributed,Might,distributed,,721,Chai nhựa,250ml,SKU00068,2024-06-20 08:50:45.704970
69,P&G Event Vị Mới 1L,P&G,Distributed,Event,distributed,,678,Hộp giấy,1L,SKU00069,2025-02-23 19:23:14.884699
70,TH True Milk Why Premium 1L,TH True Milk,Distributed,Why,distributed,,131,Hộp giấy,1L,SKU00070,2024-12-22 15:38:47.725228
71,Suntory Example Dinh Dưỡng 1L,Suntory,Distributed,Example,distributed,,488,Hộp giấy,1L,SKU00071,2025-03-17 18:57:53.846377
72,Nestlé Standard Premium 1kg,Nestlé,Distributed,Standard,distributed,,596,Túi,1kg,SKU00072,2024-09-19 05:44:49.448487
73,Ajinomoto Water Vị Mới 100g,Ajinomoto,Distributed,Water,distributed,,274,Túi,100g,SKU00073,2024-09-17 18:33:20.453720
74,P&G They Premium 330ml,P&G,Distributed,They,distributed,,591,Chai nhựa,330ml,SKU00074,2025-03-13 12:11:17.025543
75,Orion Throw Đặc Biệt 330ml,Orion,Distributed,Throw,distributed,,358,Chai nhựa,330ml,SKU00075,2025-05-13 07:44:52.391150
76,Vinamilk Small Dinh Dưỡng 330ml,Vinamilk,Distributed,Small,distributed,,293,Chai nhựa,330ml,SKU00076,2024-11-24 23:23:02.710021
77,Vinamilk Rich Đặc Biệt 100g,Vinamilk,Distributed,Rich,distributed,,206,Túi,100g,SKU00077,2025-01-19 17:59:43.504287
78,Ajinomoto Often Đặc Biệt 500g,Ajinomoto,Distributed,Often,distributed,,255,Túi,500g,SKU00078,2025-05-11 05:42:18.995671
79,Vinamilk Behavior Thượng Hạng 250ml,Vinamilk,Distributed,Behavior,distributed,,188,Chai nhựa,250ml,SKU00079,2024-11-15 14:35:04.816633
80,PepsiCo Brother Dinh Dưỡng 250ml,PepsiCo,Distributed,Brother,distributed,,108,Chai nhựa,250ml,SKU00080,2024-08-14 11:08:28.950730
81,Nestlé Truth Thượng Hạng 700ml,Nestlé,Distributed,Truth,distributed,,554,Chai nhựa,700ml,SKU00081,2024-08-20 11:08:52.577267
82,Unilever Economy Premium 700ml,Unilever,Distributed,Economy,distributed,,443,Chai nhựa,700ml,SKU00082,2024-10-01 17:48:03.229367
83,PepsiCo Occur Vị Mới 250ml,PepsiCo,Distributed,Occur,distributed,,689,Chai nhựa,250ml,SKU00083,2025-03-13 01:23:16.517329
84,Nestlé Where Premium 1kg,Nestlé,Distributed,Where,distributed,,262,Túi,1kg,SKU00084,2025-04-04 10:42:33.166258
85,Acecook Thought Dinh Dưỡng 500ml,Acecook,Distributed,Thought,distributed,,203,Chai nhựa,500ml,SKU00085,2024-09-20 03:00:05.352330
86,Nestlé Dinner Đặc Biệt 700ml,Nestlé,Distributed,Dinner,distributed,,424,Chai nhựa,700ml,SKU00086,2025-04-22 03:05:53.595956
87,Vinamilk Country Vị Mới 1L,Vinamilk,Distributed,Country,distributed,,699,Hộp giấy,1L,SKU00087,2025-05-19 10:44:17.086057
88,Vinamilk Plan Thượng Hạng 250ml,Vinamilk,Distributed,Plan,distributed,,669,Chai nhựa,250ml,SKU00088,2025-03-01 23:50:45.932212
89,Vinamilk Hospital Premium 330ml,Vinamilk,Distributed,Hospital,distributed,,125,Chai nhựa,330ml,SKU00089,2025-04-24 11:58:21.864187
90,Vinamilk Enter Premium 700ml,Vinamilk,Distributed,Enter,distributed,,321,Chai nhựa,700ml,SKU00090,2025-02-15 05:26:06.860760
91,Ajinomoto Manager Thượng Hạng 1kg,Ajinomoto,Distributed,Manager,distributed,,423,Túi,1kg,SKU00091,2025-04-02 02:07:28.180396
92,PepsiCo Middle Đặc Biệt 500ml,PepsiCo,Distributed,Middle,distributed,,664,Chai nhựa,500ml,SKU00092,2025-01-12 13:59:59.931294
93,Orion Research Dinh Dưỡng 500ml,Orion,Distributed,Research,distributed,,379,Chai nhựa,500ml,SKU00093,2024-07-24 22:29:34.789178
94,Nestlé Maintain Dinh Dưỡng 250ml,Nestlé,Distributed,Maintain,distributed,,229,Chai nhựa,250ml,SKU00094,2024-07-12 04:05:11.395266
95,Vinamilk Box Thượng Hạng 250ml,Vinamilk,Distributed,Box,distributed,,143,Chai nhựa,250ml,SKU00095,2024-11-10 21:58:16.469278
96,Acecook Several Vị Mới 100g,Acecook,Distributed,Several,distributed,,333,Túi,100g,SKU00096,2025-05-14 17:52:44.239161
97,Acecook Effect Vị Mới 1L,Acecook,Distributed,Effect,distributed,,379,Hộp giấy,1L,SKU00097,2025-06-12 04:29:39.001542
98,Ajinomoto Rate Thượng Hạng 100g,Ajinomoto,Distributed,Rate,distributed,,367,Túi,100g,SKU00098,2024-09-16 10:34:59.887124
99,TH True Milk Compare Premium 500ml,TH True Milk,Distributed,Compare,distributed,,522,Chai nhựa,500ml,SKU00099,2025-01-27 02:59:39.185566
100,Ajinomoto Student Premium 250ml,Ajinomoto,Distributed,Student,distributed,,546,Chai nhựa,250ml,SKU00100,2025-05-30 06:20:49.686589
101,PepsiCo Southern Vị Mới 330ml,PepsiCo,Distributed,Southern,distributed,,659,Chai nhựa,330ml,SKU00101,2025-03-27 17:28:21.464305
102,Orion Research Dinh Dưỡng 1kg,Orion,Distributed,Research,distributed,,571,Túi,1kg,SKU00102,2024-11-04 21:17:34.731747
103,Vinamilk Especially Dinh Dưỡng 330ml,Vinamilk,Distributed,Especially,distributed,,350,Chai nhựa,330ml,SKU00103,2024-07-14 18:31:53.636851
104,P&G Also Vị Mới 1L,P&G,Distributed,Also,distributed,,611,Hộp giấy,1L,SKU00104,2024-11-06 20:14:57.065854
105,Nestlé Consumer Thượng Hạng 1L,Nestlé,Distributed,Consumer,distributed,,695,Hộp giấy,1L,SKU00105,2025-05-03 04:55:27.322059
106,Suntory Machine Thượng Hạng 250ml,Suntory,Distributed,Machine,distributed,,121,Chai nhựa,250ml,SKU00106,2024-10-30 01:02:03.520205
107,Unilever Next Đặc Biệt 100g,Unilever,Distributed,Next,distributed,,417,Túi,100g,SKU00107,2025-04-08 13:20:29.775228
108,P&G Woman Vị Mới 1kg,P&G,Distributed,Woman,distributed,,348,Túi,1kg,SKU00108,2025-02-01 21:03:14.406274
109,Vinamilk Space Vị Mới 100g,Vinamilk,Distributed,Space,distributed,,693,Túi,100g,SKU00109,2025-01-22 17:04:35.860377
110,Suntory Figure Vị Mới 330ml,Suntory,Distributed,Figure,distributed,,314,Chai nhựa,330ml,SKU00110,2025-01-05 15:28:32.187240
111,Unilever Face Vị Mới 330ml,Unilever,Distributed,Face,distributed,,136,Chai nhựa,330ml,SKU00111,2025-01-24 22:03:12.911285
112,PepsiCo Age Thượng Hạng 100g,PepsiCo,Distributed,Age,distributed,,140,Túi,100g,SKU00112,2025-05-11 05:14:27.581882
113,P&G Cause Thượng Hạng 500ml,P&G,Distributed,Cause,distributed,,496,Chai nhựa,500ml,SKU00113,2024-09-15 01:16:56.829251
114,TH True Milk Send Thượng Hạng 1kg,TH True Milk,Distributed,Send,distributed,,651,Túi,1kg,SKU00114,2025-05-15 14:43:48.694060
115,Vinamilk Carry Đặc Biệt 500g,Vinamilk,Distributed,Carry,distributed,,667,Túi,500g,SKU00115,2025-03-29 11:02:10.883019
116,P&G Test Vị Mới 1L,P&G,Distributed,Test,distributed,,414,Hộp giấy,1L,SKU00116,2024-09-24 11:35:02.152421
117,P&G Feel Dinh Dưỡng 500g,P&G,Distributed,Feel,distributed,,450,Túi,500g,SKU00117,2025-02-15 20:45:16.584214
118,Ajinomoto Drive Thượng Hạng 100g,Ajinomoto,Distributed,Drive,distributed,,563,Túi,100g,SKU00118,2024-10-22 21:37:27.327007
119,Vinamilk City Vị Mới 700ml,Vinamilk,Distributed,City,distributed,,457,Chai nhựa,700ml,SKU00119,2025-05-18 11:44:43.938246
120,TH True Milk Will Vị Mới 1kg,TH True Milk,Distributed,Will,distributed,,241,Túi,1kg,SKU00120,2024-08-11 16:45:31.651307
121,PepsiCo Child Thượng Hạng 500g,PepsiCo,Distributed,Child,distributed,,106,Túi,500g,SKU00121,2024-08-19 22:41:27.521471
122,Suntory Physical Premium 1kg,Suntory,Distributed,Physical,distributed,,315,Túi,1kg,SKU00122,2024-07-31 02:09:07.705373
123,Orion Positive Dinh Dưỡng 250ml,Orion,Distributed,Positive,distributed,,288,Chai nhựa,250ml,SKU00123,2024-12-14 13:09:03.677717
124,Vinamilk At Thượng Hạng 1L,Vinamilk,Distributed,At,distributed,,191,Hộp giấy,1L,SKU00124,2025-03-19 23:32:10.161652
125,Vinamilk Step Thượng Hạng 250ml,Vinamilk,Distributed,Step,distributed,,514,Chai nhựa,250ml,SKU00125,2024-08-18 11:53:12.346590
126,Nestlé Race Vị Mới 500g,Nestlé,Distributed,Race,distributed,,351,Túi,500g,SKU00126,2024-09-10 22:19:03.104618
127,Vinamilk Fire Vị Mới 330ml,Vinamilk,Distributed,Fire,distributed,,441,Chai nhựa,330ml,SKU00127,2025-04-22 01:20:54.352960
128,Unilever Marriage Premium 700ml,Unilever,Distributed,Marriage,distributed,,582,Chai nhựa,700ml,SKU00128,2025-02-06 07:22:50.604193
129,Nestlé Contain Thượng Hạng 700ml,Nestlé,Distributed,Contain,distributed,,336,Chai nhựa,700ml,SKU00129,2025-05-27 00:46:56.923134
130,PepsiCo Just Dinh Dưỡng 330ml,PepsiCo,Distributed,Just,distributed,,372,Chai nhựa,330ml,SKU00130,2025-02-05 15:44:24.736325
131,P&G Wrong Thượng Hạng 500ml,P&G,Distributed,Wrong,distributed,,182,Chai nhựa,500ml,SKU00131,2024-11-19 03:35:45.482754
132,Orion Bar Dinh Dưỡng 330ml,Orion,Distributed,Bar,distributed,,376,Chai nhựa,330ml,SKU00132,2024-07-09 05:06:34.968717
133,Unilever Trade Thượng Hạng 1kg,Unilever,Distributed,Trade,distributed,,305,Túi,1kg,SKU00133,2024-09-09 00:52:51.460312
134,PepsiCo Perform Đặc Biệt 330ml,PepsiCo,Distributed,Perform,distributed,,617,Chai nhựa,330ml,SKU00134,2024-12-19 06:13:24.799990
135,Nestlé Leg Thượng Hạng 500ml,Nestlé,Distributed,Leg,distributed,,131,Chai nhựa,500ml,SKU00135,2025-03-05 01:57:04.667956
136,Unilever Time Vị Mới 500ml,Unilever,Distributed,Time,distributed,,187,Chai nhựa,500ml,SKU00136,2024-11-29 19:56:39.554964
137,Orion Themselves Premium 500ml,Orion,Distributed,Themselves,distributed,,92,Chai nhựa,500ml,SKU00137,2024-07-02 09:07:38.127172
138,Orion Lawyer Đặc Biệt 500ml,Orion,Distributed,Lawyer,distributed,,382,Chai nhựa,500ml,SKU00138,2025-02-22 14:41:36.120186
139,TH True Milk Able Thượng Hạng 330ml,TH True Milk,Distributed,Able,distributed,,468,Chai nhựa,330ml,SKU00139,2025-03-02 18:34:19.168489
140,Unilever Machine Thượng Hạng 100g,Unilever,Distributed,Machine,distributed,,214,Túi,100g,SKU00140,2025-04-03 00:57:16.656605
141,Ajinomoto Per Thượng Hạng 330ml,Ajinomoto,Distributed,Per,distributed,,655,Chai nhựa,330ml,SKU00141,2025-01-20 19:32:55.178117
142,Vinamilk Prepare Thượng Hạng 100g,Vinamilk,Distributed,Prepare,distributed,,203,Túi,100g,SKU00142,2025-01-10 09:58:07.455848
143,Unilever Along Đặc Biệt 500ml,Unilever,Distributed,Along,distributed,,454,Chai nhựa,500ml,SKU00143,2024-09-08 09:59:09.014733
144,Ajinomoto Run Premium 500g,Ajinomoto,Distributed,Run,distributed,,592,Túi,500g,SKU00144,2025-04-29 09:46:35.596202
145,Unilever Bed Vị Mới 500ml,Unilever,Distributed,Bed,distributed,,478,Chai nhựa,500ml,SKU00145,2025-04-28 20:45:33.065706
146,Suntory Some Premium 500g,Suntory,Distributed,Some,distributed,,476,Túi,500g,SKU00146,2025-01-28 04:56:44.378019
147,PepsiCo Mission Đặc Biệt 1kg,PepsiCo,Distributed,Mission,distributed,,721,Túi,1kg,SKU00147,2024-07-06 23:13:04.186988
148,PepsiCo Dark Vị Mới 500ml,PepsiCo,Distributed,Dark,distributed,,330,Chai nhựa,500ml,SKU00148,2025-03-05 03:29:30.098299
149,Suntory Every Dinh Dưỡng 330ml,Suntory,Distributed,Every,distributed,,519,Chai nhựa,330ml,SKU00149,2025-03-25 00:14:41.501895
150,Nestlé Could Dinh Dưỡng 1kg,Nestlé,Distributed,Could,distributed,,126,Túi,1kg,SKU00150,2025-02-03 10:19:37.519138
151,TH True Milk Discussion Thượng Hạng 330ml,TH True Milk,Distributed,Discussion,distributed,,462,Chai nhựa,330ml,SKU00151,2024-06-30 06:56:50.049146
152,Vinamilk Author Premium 100g,Vinamilk,Distributed,Author,distributed,,503,Túi,100g,SKU00152,2024-07-02 07:45:54.344205
153,Ajinomoto Line Thượng Hạng 250ml,Ajinomoto,Distributed,Line,distributed,,497,Chai nhựa,250ml,SKU00153,2025-03-15 22:26:37.121659
154,TH True Milk His Thượng Hạng 1kg,TH True Milk,Distributed,His,distributed,,662,Túi,1kg,SKU00154,2024-09-06 18:47:41.218752
155,Ajinomoto Together Premium 700ml,Ajinomoto,Distributed,Together,distributed,,439,Chai nhựa,700ml,SKU00155,2024-12-08 18:15:50.047799
156,TH True Milk Other Vị Mới 100g,TH True Milk,Distributed,Other,distributed,,724,Túi,100g,SKU00156,2025-04-20 20:43:37.290995
157,Ajinomoto Operation Vị Mới 500g,Ajinomoto,Distributed,Operation,distributed,,447,Túi,500g,SKU00157,2025-06-11 02:33:04.936837
158,Unilever Weight Thượng Hạng 1L,Unilever,Distributed,Weight,distributed,,310,Hộp giấy,1L,SKU00158,2025-04-18 04:32:38.817713
159,P&G Easy Thượng Hạng 500ml,P&G,Distributed,Easy,distributed,,573,Chai nhựa,500ml,SKU00159,2024-09-25 05:40:56.884281
160,Nestlé Keep Vị Mới 700ml,Nestlé,Distributed,Keep,distributed,,239,Chai nhựa,700ml,SKU00160,2024-07-27 22:06:59.480271
161,Vinamilk Chair Premium 500ml,Vinamilk,Distributed,Chair,distributed,,619,Chai nhựa,500ml,SKU00161,2024-08-15 12:19:17.147417
162,Nestlé Your Dinh Dưỡng 100g,Nestlé,Distributed,Your,distributed,,444,Túi,100g,SKU00162,2024-12-25 06:25:16.699878
163,P&G Take Vị Mới 100g,P&G,Distributed,Take,distributed,,371,Túi,100g,SKU00163,2024-07-24 09:27:49.120717
164,P&G Month Vị Mới 500ml,P&G,Distributed,Month,distributed,,721,Chai nhựa,500ml,SKU00164,2025-02-11 13:32:19.665249
165,Orion Have Dinh Dưỡng 1L,Orion,Distributed,Have,distributed,,343,Hộp giấy,1L,SKU00165,2025-03-18 06:23:53.458687
166,Unilever Network Thượng Hạng 100g,Unilever,Distributed,Network,distributed,,481,Túi,100g,SKU00166,2025-04-08 02:54:32.481359
167,Acecook Agency Thượng Hạng 330ml,Acecook,Distributed,Agency,distributed,,715,Chai nhựa,330ml,SKU00167,2024-07-30 14:52:42.561497
168,Unilever Assume Dinh Dưỡng 500g,Unilever,Distributed,Assume,distributed,,728,Túi,500g,SKU00168,2025-01-26 22:55:35.082550
169,Orion Late Premium 1kg,Orion,Distributed,Late,distributed,,575,Túi,1kg,SKU00169,2024-06-21 22:19:27.581825
170,PepsiCo No Premium 1L,PepsiCo,Distributed,No,distributed,,488,Hộp giấy,1L,SKU00170,2025-01-22 19:06:40.386549
171,Ajinomoto Meeting Premium 100g,Ajinomoto,Distributed,Meeting,distributed,,115,Túi,100g,SKU00171,2025-04-19 13:24:42.802993
172,Orion Church Thượng Hạng 250ml,Orion,Distributed,Church,distributed,,381,Chai nhựa,250ml,SKU00172,2024-07-23 18:34:33.406523
173,P&G Way Premium 330ml,P&G,Distributed,Way,distributed,,188,Chai nhựa,330ml,SKU00173,2024-08-21 17:48:28.274875
174,TH True Milk Charge Thượng Hạng 1kg,TH True Milk,Distributed,Charge,distributed,,182,Túi,1kg,SKU00174,2024-08-22 03:09:51.322307
175,Vinamilk Stop Vị Mới 330ml,Vinamilk,Distributed,Stop,distributed,,665,Chai nhựa,330ml,SKU00175,2024-12-06 10:46:09.095200
176,P&G Every Đặc Biệt 700ml,P&G,Distributed,Every,distributed,,405,Chai nhựa,700ml,SKU00176,2025-05-07 07:06:36.604564
177,Nestlé Food Thượng Hạng 500ml,Nestlé,Distributed,Food,distributed,,321,Chai nhựa,500ml,SKU00177,2025-02-08 21:19:28.996369
178,Acecook Chance Đặc Biệt 250ml,Acecook,Distributed,Chance,distributed,,449,Chai nhựa,250ml,SKU00178,2024-11-07 02:37:43.126375
179,Ajinomoto Why Vị Mới 1kg,Ajinomoto,Distributed,Why,distributed,,151,Túi,1kg,SKU00179,2025-01-13 09:55:32.305141
180,Ajinomoto Deal Dinh Dưỡng 1L,Ajinomoto,Distributed,Deal,distributed,,623,Hộp giấy,1L,SKU00180,2025-03-26 11:38:34.376353
181,Nestlé Window Đặc Biệt 700ml,Nestlé,Distributed,Window,distributed,,367,Chai nhựa,700ml,SKU00181,2024-11-02 11:45:26.829829
