store_id,store_name,store_type,channel_type,region_id,warehouse_id,partner_name,opened_date
90,WinMart Long An,WinMart,MT,3,5,,2024-09-13
91,WinMart Quảng Nam,WinMart,MT,2,4,,2020-09-08
92,WinMart+ Long An,WinMart+,MT,3,7,,2020-11-30
93,Guardian - Hà Nội,Partner,GT,1,1,Guardian,2021-07-10
94,Bách Hóa Xanh - Đồng Nai,Partner,GT,3,7,Bách Hóa Xanh,2021-10-11
95,WinMart+ Đà Nẵng,WinMart+,GT,2,4,,2023-05-01
96,FamilyMart - TP.HCM,Partner,MT,3,5,FamilyMart,2024-07-02
97,GS25 - Cần Thơ,Partner,MT,3,7,GS25,2021-02-21
98,WinMart+ Bắc Ninh,WinMart+,Horeca,1,1,,2023-03-14
99,Circle K - Hưng Yên,Partner,MT,1,1,Circle K,2024-06-05
100,WinMart+ Đà Nẵng,WinMart+,GT,2,4,,2025-05-20
101,WinMart+ Vĩnh Phúc,WinMart+,MT,1,3,,2023-03-25
102,WinMart+ Bắc Ninh,WinMart+,MT,1,1,,2021-04-22
103,WinMart Cần Thơ,WinMart,GT,3,5,,2022-01-05
104,WinMart+ Bà Rịa-Vũng Tàu,WinMart+,MT,3,8,,2021-12-12
105,Guardian - Bình Dương,Partner,GT,3,6,Guardian,2024-06-13
106,WinMart+ TP.HCM,WinMart+,GT,3,7,,2022-12-01
107,WinMart+ Huế,WinMart+,MT,2,4,,2022-07-31
108,WinMart+ Quảng Nam,WinMart+,MT,2,4,,2023-11-27
109,Highlands Coffee - Huế,Partner,GT,2,4,Highlands Coffee,2023-06-19
110,WinMart+ Bắc Ninh,WinMart+,MT,1,1,,2020-12-20
111,The Coffee House - Đà Nẵng,Partner,GT,2,4,The Coffee House,2024-10-16
112,Highlands Coffee - TP.HCM,Partner,GT,3,8,Highlands Coffee,2021-10-14
113,WinMart+ Bắc Ninh,WinMart+,MT,1,2,,2023-12-28
114,Bách Hóa Xanh - Hưng Yên,Partner,MT,1,1,Bách Hóa Xanh,2022-02-28
115,WinMart+ Hà Nội,WinMart+,GT,1,1,,2024-06-28
116,WinMart Vĩnh Phúc,WinMart,MT,1,2,,2025-02-12
117,WinMart+ Huế,WinMart+,MT,2,4,,2023-02-14
118,WinMart+ Hải Dương,WinMart+,GT,1,1,,2024-03-08
119,Tạp Hóa Chú Ba - Bắc Ninh,Partner,MT,1,2,Tạp Hóa Chú Ba,2025-03-12
120,WinMart+ Hưng Yên,WinMart+,MT,1,1,,2025-02-26
121,WinMart Huế,WinMart,MT,2,4,,2021-10-30
122,VinDS - Hưng Yên,Partner,MT,1,2,VinDS,2022-12-03
123,WinMart+ Huế,WinMart+,GT,2,4,,2021-06-25
124,Tạp Hóa Bà Sáu - Quảng Nam,Partner,MT,2,4,Tạp Hóa Bà Sáu,2022-06-17
125,WinMart Long An,WinMart,MT,3,6,,2021-01-30
126,WinMart Hưng Yên,WinMart,MT,1,1,,2020-08-30
127,WinMart+ Quảng Ngãi,WinMart+,GT,2,4,,2022-08-18
128,WinMart+ Long An,WinMart+,MT,3,8,,2021-11-19
129,WinMart+ Hà Nội,WinMart+,MT,1,1,,2025-01-16
130,WinMart+ Bình Dương,WinMart+,MT,3,5,,2020-09-25
131,WinMart+ Quảng Nam,WinMart+,MT,2,4,,2021-11-29
132,Tạp Hóa Bà Sáu - Vĩnh Phúc,Partner,MT,1,2,Tạp Hóa Bà Sáu,2025-01-30
133,WinMart Cần Thơ,WinMart,MT,3,5,,2024-12-07
134,WinMart+ Huế,WinMart+,GT,2,4,,2023-11-12
135,WinMart Long An,WinMart,GT,3,7,,2022-11-02
136,WinMart+ Hưng Yên,WinMart+,Horeca,1,2,,2022-11-18
137,WinMart+ Đà Nẵng,WinMart+,MT,2,4,,2024-11-10
138,WinMart Quảng Nam,WinMart,GT,2,4,,2023-07-04
139,WinMart Vĩnh Phúc,WinMart,GT,1,3,,2023-07-28
140,WinMart+ Hưng Yên,WinMart+,MT,1,2,,2020-11-08
141,WinMart+ Đồng Nai,WinMart+,MT,3,6,,2022-09-08
142,WinMart Đồng Nai,WinMart,MT,3,6,,2023-09-09
143,WinMart+ TP.HCM,WinMart+,MT,3,8,,2020-11-04
144,WinMart TP.HCM,WinMart,MT,3,7,,2022-01-05
145,WinMart Cần Thơ,WinMart,GT,3,6,,2024-09-01
146,WinMart+ Hải Dương,WinMart+,MT,1,1,,2021-02-22
147,WinMart Huế,WinMart,MT,2,4,,2024-08-14
148,Guardian - Hải Dương,Partner,GT,1,2,Guardian,2021-11-13
149,WinMart+ Bắc Ninh,WinMart+,MT,1,1,,2024-10-08
150,WinMart+ Long An,WinMart+,GT,3,5,,2023-04-06
151,WinMart Cần Thơ,WinMart,GT,3,6,,2021-11-03
152,WinMart Long An,WinMart,GT,3,6,,2021-07-21
153,WinMart+ Đồng Nai,WinMart+,MT,3,5,,2022-03-03
154,WinMart+ Đà Nẵng,WinMart+,MT,2,4,,2021-10-12
155,WinMart+ Vĩnh Phúc,WinMart+,MT,1,1,,2022-07-18
156,GS25 - Hà Nội,Partner,GT,1,2,GS25,2025-02-06
157,WinMart Long An,WinMart,MT,3,7,,2024-09-21
158,WinMart+ Hà Nội,WinMart+,GT,1,2,,2025-02-20
159,WinMart+ Bình Dương,WinMart+,Horeca,3,7,,2023-10-29
160,WinMart+ Huế,WinMart+,MT,2,4,,2025-01-09
161,WinMart+ Quảng Nam,WinMart+,MT,2,4,,2022-06-25
162,GS25 - Cần Thơ,Partner,Horeca,3,7,GS25,2023-10-02
163,FamilyMart - Huế,Partner,MT,2,4,FamilyMart,2023-12-02
164,WinMart+ Quảng Ngãi,WinMart+,MT,2,4,,2021-09-09
165,WinMart+ Hải Dương,WinMart+,GT,1,1,,2024-01-28
166,WinMart+ Bình Dương,WinMart+,MT,3,7,,2024-03-20
167,WinMart+ Bà Rịa-Vũng Tàu,WinMart+,MT,3,5,,2023-05-31
168,WinMart Huế,WinMart,GT,2,4,,2021-02-24
169,Tạp Hóa Bà Sáu - Bắc Ninh,Partner,Horeca,1,3,Tạp Hóa Bà Sáu,2021-03-28
170,WinMart+ Bà Rịa-Vũng Tàu,WinMart+,MT,3,8,,2024-05-15
171,Tạp Hóa Bà Sáu - Cần Thơ,Partner,GT,3,8,Tạp Hóa Bà Sáu,2021-05-11
172,WinMart Vĩnh Phúc,WinMart,GT,1,1,,2020-10-08
173,WinMart+ Hải Dương,WinMart+,GT,1,3,,2022-11-30
174,WinMart+ Quảng Nam,WinMart+,GT,2,4,,2022-10-06
175,WinMart+ Hưng Yên,WinMart+,GT,1,2,,2023-09-25
176,WinMart+ Hà Nội,WinMart+,MT,1,2,,2021-01-15
177,The Coffee House - TP.HCM,Partner,GT,3,5,The Coffee House,2021-09-21
178,WinMart+ Đà Nẵng,WinMart+,MT,2,4,,2021-11-04
179,WinMart+ Đà Nẵng,WinMart+,GT,2,4,,2024-05-25
180,FamilyMart - Long An,Partner,Horeca,3,7,FamilyMart,2021-05-18
181,WinMart+ Bắc Ninh,WinMart+,MT,1,3,,2025-02-22
182,WinMart+ Long An,WinMart+,Horeca,3,7,,2024-09-15
183,WinMart+ Bắc Ninh,WinMart+,GT,1,3,,2024-04-22
184,WinMart Huế,WinMart,MT,2,4,,2021-07-02
185,WinMart Huế,WinMart,MT,2,4,,2020-06-26
186,Satra Foods - Quảng Ngãi,Partner,GT,2,4,Satra Foods,2024-10-07
187,WinMart Đồng Nai,WinMart,GT,3,8,,2020-07-07
188,WinMart+ Cần Thơ,WinMart+,MT,3,7,,2020-11-02
189,WinMart+ Đà Nẵng,WinMart+,GT,2,4,,2022-02-17
190,WinMart+ Hải Dương,WinMart+,MT,1,1,,2022-08-02
191,WinMart Quảng Ngãi,WinMart,MT,2,4,,2020-12-31
192,WinMart+ Hà Nội,WinMart+,MT,1,1,,2020-07-31
193,WinMart+ Bắc Ninh,WinMart+,Horeca,1,3,,2021-06-11
194,WinMart+ Hưng Yên,WinMart+,MT,1,1,,2021-07-16
195,WinMart Đồng Nai,WinMart,MT,3,8,,2021-06-11
196,WinMart Bình Dương,WinMart,MT,3,5,,2021-07-20
197,WinMart+ Đà Nẵng,WinMart+,MT,2,4,,2022-11-09
198,WinMart Bắc Ninh,WinMart,GT,1,3,,2024-04-04
199,WinMart+ Quảng Ngãi,WinMart+,MT,2,4,,2024-12-25
200,WinMart Quảng Nam,WinMart,MT,2,4,,2021-01-20
201,WinMart+ TP.HCM,WinMart+,MT,3,7,,2021-07-28
202,WinMart+ Hà Nội,WinMart+,MT,1,2,,2021-10-22
203,VinDS - Huế,Partner,GT,2,4,VinDS,2022-07-28
204,WinMart Quảng Nam,WinMart,MT,2,4,,2023-03-27
205,WinMart+ Quảng Nam,WinMart+,GT,2,4,,2023-04-30
206,WinMart+ Vĩnh Phúc,WinMart+,MT,1,1,,2023-11-17
207,WinMart Vĩnh Phúc,WinMart,GT,1,2,,2022-01-20
208,WinMart+ Bình Dương,WinMart+,GT,3,6,,2021-07-20
209,WinMart+ Quảng Ngãi,WinMart+,MT,2,4,,2023-10-31
210,WinMart+ Quảng Nam,WinMart+,GT,2,4,,2022-05-31
211,GS25 - Bà Rịa-Vũng Tàu,Partner,MT,3,8,GS25,2023-12-23
212,WinMart+ Bắc Ninh,WinMart+,GT,1,2,,2020-06-18
213,WinMart+ Hưng Yên,WinMart+,MT,1,2,,2024-04-18
214,WinMart Hưng Yên,WinMart,MT,1,2,,2024-07-04
215,WinMart+ Đồng Nai,WinMart+,MT,3,6,,2024-11-02
216,WinMart Huế,WinMart,MT,2,4,,2023-03-08
217,Guardian - Đồng Nai,Partner,GT,3,6,Guardian,2021-02-20
218,WinMart Bà Rịa-Vũng Tàu,WinMart,MT,3,5,,2020-09-29
219,WinMart TP.HCM,WinMart,GT,3,7,,2023-09-10
220,WinMart+ Quảng Ngãi,WinMart+,GT,2,4,,2022-03-11
221,Satra Foods - Hà Nội,Partner,MT,1,1,Satra Foods,2022-01-03
222,WinMart Hà Nội,WinMart,MT,1,2,,2021-08-18
223,WinMart+ Hải Dương,WinMart+,MT,1,1,,2025-03-30
224,WinMart Vĩnh Phúc,WinMart,GT,1,2,,2020-10-29
225,WinMart+ Đồng Nai,WinMart+,MT,3,7,,2024-09-15
226,WinMart Huế,WinMart,GT,2,4,,2020-06-17
227,WinMart Quảng Ngãi,WinMart,MT,2,4,,2022-08-13
228,WinMart Hải Dương,WinMart,MT,1,1,,2024-06-04
229,WinMart Hà Nội,WinMart,MT,1,2,,2024-05-28
230,WinMart+ Bắc Ninh,WinMart+,GT,1,3,,2025-02-14
231,Ministop - Huế,Partner,Horeca,2,4,Ministop,2021-06-02
232,Co.op Food - Đà Nẵng,Partner,GT,2,4,Co.op Food,2024-07-29
233,Co.op Food - Quảng Ngãi,Partner,MT,2,4,Co.op Food,2025-04-28
234,WinMart+ Hưng Yên,WinMart+,GT,1,2,,2022-05-05
235,WinMart Long An,WinMart,GT,3,5,,2023-08-17
236,Tạp Hóa Bà Sáu - Cần Thơ,Partner,MT,3,8,Tạp Hóa Bà Sáu,2021-11-24
237,WinMart Long An,WinMart,MT,3,8,,2021-09-28
238,WinMart Quảng Ngãi,WinMart,GT,2,4,,2021-03-06
239,Circle K - Bình Dương,Partner,MT,3,6,Circle K,2021-04-20
240,VinDS - Hà Nội,Partner,MT,1,2,VinDS,2024-08-04
241,WinMart+ Hải Dương,WinMart+,Horeca,1,2,,2024-06-10
242,WinMart Vĩnh Phúc,WinMart,MT,1,3,,2023-07-08
243,WinMart+ Long An,WinMart+,MT,3,6,,2021-05-08
244,WinMart+ TP.HCM,WinMart+,Horeca,3,6,,2020-10-23
245,WinMart Vĩnh Phúc,WinMart,MT,1,2,,2021-04-05
246,WinMart+ Bắc Ninh,WinMart+,MT,1,1,,2021-05-03
247,WinMart Long An,WinMart,MT,3,6,,2022-04-23
248,WinMart Đà Nẵng,WinMart,GT,2,4,,2022-07-26
249,WinMart+ Hà Nội,WinMart+,MT,1,2,,2025-04-03
250,Highlands Coffee - Vĩnh Phúc,Partner,MT,1,1,Highlands Coffee,2021-09-01
251,Co.op Food - Hà Nội,Partner,MT,1,2,Co.op Food,2025-02-20
252,WinMart+ Hà Nội,WinMart+,MT,1,3,,2021-12-12
253,WinMart+ Đà Nẵng,WinMart+,GT,2,4,,2024-12-03
254,WinMart+ Bà Rịa-Vũng Tàu,WinMart+,MT,3,8,,2020-07-05
255,WinMart Hà Nội,WinMart,GT,1,2,,2021-07-23
256,WinMart+ Bình Dương,WinMart+,MT,3,6,,2020-11-09
257,WinMart+ Bắc Ninh,WinMart+,MT,1,3,,2023-06-24
258,WinMart Hà Nội,WinMart,Horeca,1,2,,2025-03-02
259,WinMart+ Hà Nội,WinMart+,MT,1,1,,2021-05-12
260,WinMart Vĩnh Phúc,WinMart,GT,1,1,,2023-09-22
261,WinMart+ Hưng Yên,WinMart+,GT,1,3,,2022-12-10
262,WinMart+ Quảng Nam,WinMart+,MT,2,4,,2020-07-13
263,WinMart+ Bắc Ninh,WinMart+,MT,1,1,,2020-12-25
264,WinMart TP.HCM,WinMart,GT,3,6,,2022-03-21
265,GS25 - Đồng Nai,Partner,MT,3,8,GS25,2023-05-23
266,WinMart+ Bắc Ninh,WinMart+,GT,1,2,,2022-09-20
267,VinDS - Bà Rịa-Vũng Tàu,Partner,MT,3,6,VinDS,2020-09-11
268,Circle K - Quảng Ngãi,Partner,MT,2,4,Circle K,2025-04-29
269,WinMart+ Hưng Yên,WinMart+,MT,1,3,,2022-03-03
270,WinMart Bắc Ninh,WinMart,Horeca,1,1,,2023-12-06
271,WinMart Bình Dương,WinMart,MT,3,7,,2024-05-18
272,WinMart Quảng Nam,WinMart,MT,2,4,,2024-02-17
273,WinMart+ Bà Rịa-Vũng Tàu,WinMart+,MT,3,6,,2021-02-28
274,WinMart+ Đà Nẵng,WinMart+,GT,2,4,,2024-08-01
275,WinMart+ Long An,WinMart+,GT,3,6,,2022-09-21
276,WinMart+ Hưng Yên,WinMart+,MT,1,2,,2021-09-20
277,WinMart Huế,WinMart,MT,2,4,,2024-05-31
278,WinMart Hà Nội,WinMart,MT,1,2,,2020-06-21
279,WinMart+ Bà Rịa-Vũng Tàu,WinMart+,GT,3,6,,2025-04-12
280,WinMart+ Quảng Nam,WinMart+,MT,2,4,,2024-07-29
281,WinMart Vĩnh Phúc,WinMart,Horeca,1,3,,2025-05-27
282,WinMart+ Quảng Ngãi,WinMart+,Horeca,2,4,,2025-01-26
283,WinMart+ TP.HCM,WinMart+,MT,3,6,,2022-05-12
284,WinMart+ Bình Dương,WinMart+,MT,3,6,,2021-11-06
285,WinMart Hà Nội,WinMart,MT,1,1,,2023-12-01
286,WinMart+ Long An,WinMart+,Horeca,3,8,,2025-02-12
287,WinMart+ Vĩnh Phúc,WinMart+,GT,1,3,,2023-12-08
288,WinMart+ TP.HCM,WinMart+,MT,3,5,,2024-03-02
289,WinMart+ Hải Dương,WinMart+,MT,1,2,,2023-04-23
290,WinMart Đồng Nai,WinMart,MT,3,8,,2020-09-06
291,WinMart Hưng Yên,WinMart,MT,1,1,,2022-01-23
292,WinMart+ TP.HCM,WinMart+,Horeca,3,5,,2021-11-27
293,Satra Foods - Bắc Ninh,Partner,MT,1,3,Satra Foods,2021-12-21
294,WinMart Huế,WinMart,MT,2,4,,2025-06-13
295,WinMart Đà Nẵng,WinMart,MT,2,4,,2022-07-19
296,WinMart+ Cần Thơ,WinMart+,MT,3,8,,2023-07-26
297,WinMart Hà Nội,WinMart,MT,1,2,,2023-05-10
298,WinMart Hưng Yên,WinMart,GT,1,1,,2023-12-03
299,WinMart Huế,WinMart,GT,2,4,,2023-05-13
300,WinMart+ Bắc Ninh,WinMart+,MT,1,2,,2020-08-02
301,WinMart Đà Nẵng,WinMart,MT,2,4,,2021-09-25
302,WinMart+ Long An,WinMart+,GT,3,8,,2021-11-19
303,WinMart Bình Dương,WinMart,GT,3,8,,2022-11-30
304,VinDS - Quảng Ngãi,Partner,MT,2,4,VinDS,2024-01-05
305,WinMart Vĩnh Phúc,WinMart,GT,1,2,,2022-11-12
306,WinMart+ Long An,WinMart+,Horeca,3,7,,2022-04-14
307,WinMart Quảng Ngãi,WinMart,GT,2,4,,2020-10-24
308,WinMart Hưng Yên,WinMart,MT,1,2,,2023-09-28
309,Circle K - Đà Nẵng,Partner,GT,2,4,Circle K,2025-01-29
310,GS25 - Bắc Ninh,Partner,MT,1,3,GS25,2022-01-18
311,FamilyMart - Long An,Partner,GT,3,8,FamilyMart,2021-07-31
312,GS25 - Huế,Partner,MT,2,4,GS25,2024-04-27
313,WinMart+ Quảng Ngãi,WinMart+,MT,2,4,,2022-03-17
314,WinMart+ Quảng Ngãi,WinMart+,MT,2,4,,2023-07-19
315,WinMart+ Đà Nẵng,WinMart+,MT,2,4,,2023-04-05
316,Bách Hóa Xanh - Bình Dương,Partner,GT,3,5,Bách Hóa Xanh,2023-03-14
317,WinMart Hải Dương,WinMart,MT,1,2,,2023-04-13
318,WinMart+ Huế,WinMart+,MT,2,4,,2021-09-25
319,WinMart Hưng Yên,WinMart,MT,1,2,,2021-08-09
320,WinMart+ Bà Rịa-Vũng Tàu,WinMart+,Horeca,3,7,,2023-07-10
321,WinMart+ Vĩnh Phúc,WinMart+,Horeca,1,3,,2022-12-10
322,WinMart+ Hà Nội,WinMart+,MT,1,2,,2020-09-08
323,WinMart+ Quảng Nam,WinMart+,MT,2,4,,2022-09-30
324,Circle K - Bình Dương,Partner,MT,3,8,Circle K,2022-06-11
325,WinMart Bắc Ninh,WinMart,GT,1,3,,2023-05-21
326,Tạp Hóa Chú Ba - Hà Nội,Partner,MT,1,2,Tạp Hóa Chú Ba,2023-09-11
327,WinMart+ Đà Nẵng,WinMart+,MT,2,4,,2021-10-29
328,WinMart Đồng Nai,WinMart,MT,3,6,,2021-09-15
329,WinMart+ Bắc Ninh,WinMart+,Horeca,1,3,,2024-03-17
330,Satra Foods - Cần Thơ,Partner,MT,3,5,Satra Foods,2024-11-09
331,WinMart+ Cần Thơ,WinMart+,MT,3,8,,2021-12-09
332,WinMart Bắc Ninh,WinMart,GT,1,1,,2022-02-08
333,WinMart Hưng Yên,WinMart,MT,1,2,,2024-03-03
334,WinMart+ Cần Thơ,WinMart+,GT,3,6,,2020-07-20
335,WinMart+ Long An,WinMart+,MT,3,5,,2021-05-01
336,WinMart+ Quảng Nam,WinMart+,MT,2,4,,2025-04-13
337,GS25 - Bắc Ninh,Partner,Horeca,1,1,GS25,2020-10-12
338,WinMart+ Quảng Nam,WinMart+,MT,2,4,,2022-11-10
339,Circle K - Bà Rịa-Vũng Tàu,Partner,GT,3,8,Circle K,2020-07-19
340,WinMart Hà Nội,WinMart,GT,1,3,,2022-01-06
341,WinMart Huế,WinMart,GT,2,4,,2022-08-17
342,WinMart Hải Dương,WinMart,GT,1,3,,2024-11-18
343,WinMart Bà Rịa-Vũng Tàu,WinMart,GT,3,5,,2021-02-03
344,WinMart+ Quảng Ngãi,WinMart+,GT,2,4,,2023-10-10
345,WinMart Bình Dương,WinMart,GT,3,8,,2023-03-25
346,WinMart+ TP.HCM,WinMart+,MT,3,6,,2021-07-09
347,WinMart+ Bình Dương,WinMart+,MT,3,7,,2020-07-20
348,WinMart+ Đà Nẵng,WinMart+,MT,2,4,,2020-11-10
349,WinMart+ Bắc Ninh,WinMart+,GT,1,3,,2022-02-18
350,WinMart+ Cần Thơ,WinMart+,MT,3,6,,2021-12-21
351,WinMart+ Cần Thơ,WinMart+,MT,3,6,,2025-02-11
352,WinMart+ Bà Rịa-Vũng Tàu,WinMart+,MT,3,8,,2021-11-28
353,WinMart+ TP.HCM,WinMart+,GT,3,6,,2021-06-04
354,WinMart+ Quảng Ngãi,WinMart+,MT,2,4,,2020-08-16
355,WinMart Quảng Ngãi,WinMart,MT,2,4,,2023-08-29
356,WinMart Hà Nội,WinMart,MT,1,3,,2022-02-02
357,Satra Foods - Vĩnh Phúc,Partner,MT,1,2,Satra Foods,2022-04-26
358,WinMart+ Đà Nẵng,WinMart+,MT,2,4,,2023-02-23
359,WinMart+ Long An,WinMart+,MT,3,6,,2024-03-05
360,WinMart Hải Dương,WinMart,Horeca,1,1,,2023-06-07
361,Bách Hóa Xanh - Cần Thơ,Partner,MT,3,5,Bách Hóa Xanh,2020-08-02
362,WinMart Quảng Nam,WinMart,MT,2,4,,2022-04-01
363,Highlands Coffee - Hà Nội,Partner,GT,1,3,Highlands Coffee,2022-01-27
364,WinMart Cần Thơ,WinMart,GT,3,5,,2022-11-18
365,Co.op Food - Hải Dương,Partner,MT,1,3,Co.op Food,2022-04-07
366,WinMart+ Đà Nẵng,WinMart+,Horeca,2,4,,2023-10-13
367,WinMart Bình Dương,WinMart,MT,3,6,,2022-07-31
368,WinMart+ Cần Thơ,WinMart+,MT,3,5,,2023-09-30
