shipment_id,warehouse_id,store_id,product_id,shipment_date,shipping_time_days,transportation_cost,delivery_status,quantity
41,4,83,927,2023-07-27,2,255.95,Delivered,93
42,5,1732,1331,2024-05-30,1,420.52,Delivered,93
43,4,2631,1612,2025-02-07,1,204.7,Delivered,150
44,4,2991,1808,2022-07-12,3,607.73,Delivered,137
45,4,2032,1853,2023-11-21,3,369.23,Delivered,139
46,6,142,781,2023-02-18,2,980.54,Delivered,148
47,4,1270,363,2022-12-23,2,790.47,Delivered,50
48,3,628,1433,2023-09-04,2,553.44,Delivered,56
49,2,2898,1114,2022-06-09,2,207.45,Delivered,132
50,8,877,21,2025-03-18,1,122.17,Delivered,139
51,2,1491,1055,2022-05-07,5,590.72,Delivered,91
52,2,2374,174,2024-10-09,5,699.18,Delivered,116
53,4,1146,2026,2025-05-25,3,646.91,Delivered,121
54,1,2761,417,2022-04-21,3,372.89,Delivered,92
55,5,1940,1035,2024-03-30,2,988.95,Delivered,50
56,6,29,1943,2022-04-12,1,196.98,Delivered,60
57,4,733,319,2024-07-21,2,596.85,Delivered,112
58,3,1102,135,2022-11-09,1,496.78,Delivered,133
59,4,556,1382,2023-02-14,4,951.07,Delivered,135
60,4,998,1129,2022-04-18,3,371.7,Delivered,135
61,7,201,511,2022-11-28,2,117.91,Delivered,77
62,4,820,603,2023-08-02,2,293.65,Delivered,130
63,6,2383,367,2025-01-24,4,777.36,Delivered,36
64,3,1431,1471,2023-10-19,2,336.6,Delivered,49
65,8,2847,1450,2022-07-14,3,813.01,Delivered,72
66,2,136,1032,2022-11-03,1,240.08,Delivered,34
67,4,2313,1048,2022-01-01,2,607.17,Delivered,147
68,7,466,791,2022-03-18,5,733.5,Delivered,70
69,1,2888,1922,2024-06-22,1,498.3,Delivered,124
70,4,1690,1574,2023-03-14,1,567.22,Delivered,37
71,1,873,413,2023-03-29,4,907.55,Delivered,47
72,3,567,221,2024-01-04,1,206.33,Delivered,114
73,2,1403,1324,2023-05-03,2,950.07,Delivered,36
74,4,2530,887,2024-07-02,1,859.58,Delivered,150
75,1,13,446,2023-05-02,5,931.72,Delivered,64
76,3,349,802,2023-12-17,4,870.26,Delivered,113
77,7,602,1642,2025-05-21,1,160.96,Delivered,138
78,3,1423,899,2022-09-18,1,183.07,Delivered,78
79,3,2488,1619,2025-05-17,3,913.25,Delivered,128
80,2,686,1671,2024-03-06,2,389.12,Delivered,149
81,4,2451,177,2022-08-03,3,936.29,Delivered,126
82,5,2073,838,2024-01-17,4,468.67,Delivered,105
83,6,1389,333,2024-05-19,1,730.42,Delivered,31
84,6,2508,74,2023-05-06,4,520.95,Delivered,118
85,8,782,520,2024-01-24,3,399.92,Delivered,46
86,4,2051,411,2024-04-09,2,390.6,Delivered,75
87,6,559,84,2024-11-03,4,804.1,Delivered,127
88,6,2671,891,2022-07-04,4,336.66,Delivered,46
89,4,2813,1864,2022-11-26,1,233.06,Delivered,50
90,4,1235,1467,2023-03-27,3,341.73,Delivered,108
91,2,546,51,2024-10-11,4,391.39,Delivered,110
92,2,976,251,2025-03-06,5,906.68,Delivered,82
93,2,575,1584,2023-11-17,2,512.33,Delivered,64
94,4,262,1120,2022-12-29,1,360.96,Delivered,130
95,3,287,1904,2024-04-28,5,519.02,Delivered,128
96,1,1812,164,2024-04-16,5,938.11,Delivered,94
97,4,2475,1945,2022-09-24,5,637.02,Delivered,71
98,1,155,287,2023-12-16,1,864.42,Delivered,92
99,2,923,1713,2022-08-31,5,981.55,Delivered,78
100,4,677,1440,2023-08-22,1,782.82,Delivered,139
101,1,2406,1401,2025-02-07,4,794.38,Delivered,138
102,4,2965,1431,2023-09-11,1,552.18,Delivered,53
103,4,355,1555,2025-01-30,2,395.77,Delivered,53
104,1,2589,310,2024-05-14,1,563.66,Delivered,86
105,8,1223,586,2024-09-19,5,224.25,Delivered,48
106,1,1167,843,2023-10-12,3,235.17,Delivered,62
107,6,1767,212,2023-06-22,1,478.08,Delivered,56
108,1,1820,1775,2024-05-18,1,615.5,Delivered,67
109,5,1407,789,2022-01-03,2,900.03,Delivered,128
110,2,2486,1973,2022-10-10,1,868.84,Delivered,118
111,2,1788,1366,2024-07-08,3,502.32,Delivered,116
112,4,2078,1258,2023-11-15,5,590.86,Delivered,59
113,4,1672,1610,2023-07-05,1,171.47,Delivered,31
114,8,1494,301,2023-08-25,5,522.44,Delivered,81
115,2,686,1114,2022-06-13,4,517.82,Delivered,121
116,4,1323,1899,2022-02-02,3,167.1,Delivered,141
117,5,2040,667,2023-02-01,5,861.41,Delivered,42
118,8,2298,1935,2023-02-22,5,924.65,Delivered,100
119,8,2625,43,2024-02-14,5,614.74,Delivered,30
120,8,2135,826,2024-03-13,4,768.58,Delivered,56
121,2,2013,987,2022-08-09,3,497.72,Delivered,148
122,4,2322,445,2025-03-20,4,743.07,Delivered,117
123,6,986,801,2022-01-13,3,555.27,Delivered,45
124,2,2659,110,2022-01-23,2,212.22,Delivered,126
125,2,2812,632,2024-06-22,5,895.55,Delivered,63
126,5,2214,1039,2022-07-27,5,212.01,Delivered,138
127,3,1186,8,2024-07-11,3,358.97,Delivered,50
128,7,784,962,2023-03-12,2,398.96,Delivered,113
129,4,417,1579,2023-12-27,1,123.55,Delivered,124
130,8,1291,1289,2024-01-18,1,798.67,Delivered,134
131,8,265,1034,2024-01-23,2,647.18,Delivered,36
132,7,1276,1749,2023-10-31,3,368.92,Delivered,88
133,8,2870,1898,2024-08-14,2,975.98,Delivered,67
134,7,542,533,2022-05-02,3,165.54,Delivered,72
135,2,2878,871,2024-06-27,3,279.64,Delivered,51
136,1,1236,2031,2022-03-18,2,966.88,Delivered,52
137,4,1647,186,2024-06-04,5,993.72,Delivered,103
138,4,205,227,2023-12-25,3,545.2,Delivered,74
139,4,1189,613,2024-03-22,2,634.28,Delivered,37
140,4,477,403,2023-02-20,4,605.39,Delivered,36
141,3,1333,1350,2024-02-21,2,139.81,Delivered,69
142,5,1847,1103,2022-07-19,4,575.03,Delivered,100
143,7,1727,1292,2022-06-01,1,164.67,Delivered,92
144,7,84,2004,2022-03-26,4,155.39,Delivered,93
145,2,241,1782,2024-12-04,1,945.96,Delivered,112
146,6,1948,199,2024-11-26,2,209.12,Delivered,32
147,3,776,1594,2022-07-30,1,904.28,Delivered,55
148,2,300,849,2022-08-22,4,543.66,Delivered,97
149,4,2567,1319,2022-11-09,2,835.97,Delivered,130
150,5,177,393,2022-12-21,5,923.35,Delivered,60
151,4,2193,1797,2024-05-24,4,113.16,Delivered,113
152,4,2228,540,2022-01-01,1,205.02,Delivered,145
153,1,854,1799,2024-01-22,5,193.88,Delivered,89
154,4,1918,82,2023-10-10,1,608.51,Delivered,112
155,7,390,1487,2023-05-18,2,593.25,Delivered,47
156,3,1386,1129,2025-01-01,4,424.99,Delivered,135
157,7,2755,1357,2024-10-18,2,395.4,Delivered,106
158,5,848,1871,2023-07-10,3,906.07,Delivered,72
159,4,2276,938,2023-09-28,2,682.52,Delivered,65
160,6,2504,972,2025-03-10,4,423.05,Delivered,127
161,4,1839,1477,2022-11-13,5,831.65,Delivered,113
162,4,627,34,2024-08-03,1,317.41,Delivered,110
163,7,1209,459,2023-07-20,3,206.9,Delivered,41
164,6,2628,184,2023-04-23,3,221.59,Delivered,70
165,8,2766,1165,2025-02-06,2,507.02,Delivered,49
166,3,1715,1906,2022-11-02,3,971.19,Delivered,52
167,1,2972,1498,2022-12-14,1,322.52,Delivered,106
168,5,588,1633,2023-02-17,5,149.34,Delivered,49
169,8,1321,1975,2024-01-18,2,713.0,Delivered,98
170,1,2793,563,2022-05-18,3,252.9,Delivered,69
171,4,2611,1080,2022-07-28,4,197.85,Delivered,140
172,4,1892,651,2024-06-27,4,342.51,Delivered,100
173,1,455,1952,2023-09-13,1,539.53,Delivered,66
174,1,1886,1702,2023-01-04,4,808.15,Delivered,80
175,4,2699,1226,2023-09-30,2,318.03,Delivered,101
176,4,755,163,2024-05-08,4,595.99,Delivered,55
177,2,2374,6,2025-03-09,3,890.07,Delivered,135
178,4,2363,81,2023-10-12,3,119.51,Delivered,105
179,6,2044,1063,2023-03-02,5,993.25,Delivered,84
180,8,1983,641,2023-02-09,3,780.71,Delivered,42
181,6,513,969,2022-10-21,1,273.38,Delivered,32
182,5,1393,1263,2024-05-07,2,234.59,Delivered,103
183,4,765,622,2023-03-21,1,952.34,Delivered,129
184,4,720,712,2023-02-15,5,157.32,Delivered,44
185,3,2885,149,2022-06-05,4,129.5,Delivered,64
186,2,1929,761,2024-05-02,2,451.76,Delivered,142
187,7,2763,1374,2022-08-16,3,651.86,Delivered,149
188,4,2925,566,2024-09-21,5,743.51,Delivered,46
189,7,1332,1307,2025-02-26,5,833.78,Delivered,102
190,3,1783,1817,2024-01-26,4,397.28,Delivered,31
191,4,810,1540,2024-05-03,3,155.73,Delivered,81
192,8,497,756,2023-10-17,3,186.92,Delivered,99
193,4,1835,875,2022-11-05,1,899.41,Delivered,92
194,8,1771,1771,2023-08-24,3,487.24,Delivered,67
195,7,825,1000,2025-04-23,2,871.4,Delivered,140
196,4,1704,194,2023-09-10,1,527.99,Delivered,113
197,4,967,752,2024-02-14,2,657.33,Delivered,88
198,3,2913,1511,2022-09-09,1,589.49,Delivered,32
199,8,940,263,2022-05-24,1,966.82,Delivered,66
200,4,1176,1584,2024-05-01,5,926.28,Delivered,85
201,4,398,1958,2023-09-13,4,568.03,Delivered,53
202,2,923,1439,2022-05-13,3,534.49,Delivered,48
203,1,1236,41,2024-05-06,2,205.27,Delivered,79
204,3,2488,912,2024-02-20,1,878.76,Delivered,111
205,5,2677,1972,2022-08-22,2,730.09,Delivered,64
206,8,51,1098,2025-01-14,4,488.49,Delivered,41
207,2,447,1691,2022-01-03,2,312.24,Delivered,142
208,2,2083,1630,2023-08-02,1,193.69,Delivered,79
209,4,2029,782,2024-07-12,1,871.4,Delivered,45
210,2,1211,1867,2022-12-03,5,602.03,Delivered,57
211,2,2558,476,2023-11-16,1,343.0,Delivered,100
212,2,575,783,2024-01-25,1,103.85,Delivered,54
213,4,216,2004,2025-03-30,3,563.95,Delivered,49
214,3,2080,258,2024-05-12,4,353.01,Delivered,142
215,4,1280,68,2025-03-22,5,832.81,Delivered,32
216,6,2082,1313,2024-12-20,4,404.24,Delivered,89
217,4,1229,387,2022-05-31,4,993.31,Delivered,75
218,4,1969,1315,2022-09-05,3,596.41,Delivered,143
219,4,2236,919,2022-05-26,5,653.61,Delivered,88
220,2,1914,892,2023-04-28,1,852.9,Delivered,105
221,4,481,1626,2024-11-28,1,931.88,Delivered,146
222,4,623,178,2023-09-24,5,934.18,Delivered,76
223,6,2941,1546,2023-09-20,3,317.01,Delivered,76
224,4,2487,174,2022-07-04,4,830.01,Delivered,135
225,4,2074,906,2024-12-25,1,504.28,Delivered,116
226,4,1671,292,2023-02-21,5,814.91,Delivered,65
227,4,2690,721,2023-09-30,5,889.01,Delivered,135
228,4,816,821,2023-10-23,5,254.21,Delivered,116
229,4,2268,1888,2024-07-09,1,814.38,Delivered,97
230,4,901,1091,2024-07-11,1,321.3,Delivered,49
231,2,2177,542,2023-04-26,4,428.66,Delivered,139
232,3,1581,553,2023-04-11,3,689.8,Delivered,55
233,1,2362,689,2022-09-19,5,490.21,Delivered,69
234,6,1316,837,2024-09-14,3,650.32,Delivered,143
235,7,381,366,2022-03-24,4,940.15,Delivered,141
236,1,1722,778,2022-06-02,5,280.67,Delivered,48
237,4,476,1094,2024-01-25,4,375.0,Delivered,127
238,4,1959,1195,2023-11-30,2,890.0,Delivered,145
239,4,1777,557,2023-03-07,2,800.43,Delivered,95
240,3,1369,1869,2023-07-31,1,712.42,Delivered,54
241,5,1794,1152,2024-11-29,5,754.63,Delivered,83
242,4,47,492,2022-10-09,1,484.48,Delivered,141
243,6,2520,1901,2023-04-27,1,301.67,Delivered,89
244,8,471,1943,2024-09-11,3,704.57,Delivered,103
245,7,951,900,2023-09-28,3,210.08,Delivered,52
246,8,324,1535,2025-01-23,4,935.42,Delivered,54
247,7,370,509,2022-03-02,2,675.92,Delivered,99
248,8,170,575,2024-10-07,2,905.02,Delivered,45
249,2,122,1142,2023-04-17,3,972.45,Delivered,106
250,4,138,188,2025-01-24,3,166.03,Delivered,34
251,8,1631,1073,2024-11-22,4,523.44,Delivered,105
252,4,1613,864,2023-07-29,5,970.11,Delivered,137
253,4,2544,130,2024-11-21,2,452.38,Delivered,62
254,2,1772,1415,2024-04-14,4,326.41,Delivered,32
255,4,635,19,2023-01-04,4,202.43,Delivered,57
256,3,379,1741,2024-12-07,2,182.12,Delivered,101
257,3,2880,111,2024-09-15,5,817.51,Delivered,139
258,1,736,1806,2023-09-30,2,365.26,Delivered,92
259,4,1486,114,2022-05-08,3,750.15,Delivered,85
260,3,342,260,2023-03-16,5,439.79,Delivered,145
261,8,1024,1204,2022-04-06,5,489.74,Delivered,30
262,4,277,795,2023-09-13,2,695.26,Delivered,77
263,7,2479,1856,2025-01-01,2,507.15,Delivered,147
264,4,226,268,2022-09-19,3,309.3,Delivered,75
265,1,2888,1694,2022-06-08,5,792.29,Delivered,51
266,1,1879,1089,2025-01-08,4,364.43,Delivered,69
267,1,2365,990,2024-02-17,1,219.87,Delivered,90
268,8,303,1952,2024-05-27,1,127.26,Delivered,35
269,8,1502,1355,2022-06-03,2,837.4,Delivered,119
270,6,1749,1562,2023-08-29,5,796.59,Delivered,126
271,7,34,979,2022-10-16,5,499.59,Delivered,65
272,4,2975,1577,2022-03-02,3,766.57,Delivered,64
273,4,1946,1155,2024-05-10,1,572.65,Delivered,61
274,7,992,285,2024-07-07,4,428.89,Delivered,36
275,1,2071,1036,2023-11-18,1,282.28,Delivered,58
276,4,2440,1288,2025-04-08,3,870.93,Delivered,53
277,4,432,2004,2025-05-20,5,939.86,Delivered,71
278,4,844,1113,2024-02-16,2,500.39,Delivered,85
279,1,1886,1759,2022-02-26,4,106.28,Delivered,86
280,4,457,1271,2025-05-09,3,455.6,Delivered,129
281,4,2954,19,2024-09-12,3,218.12,Delivered,59
282,2,659,124,2025-03-21,2,571.83,Delivered,45
283,2,1670,1080,2024-09-17,5,593.96,Delivered,94
284,4,1086,83,2024-07-23,2,732.02,Delivered,72
285,4,2962,1918,2023-12-07,2,834.07,Delivered,125
286,4,2016,1060,2024-12-19,4,749.77,Delivered,63
287,1,873,717,2023-10-12,4,293.67,Delivered,148
288,4,850,1920,2022-04-27,3,818.21,Delivered,92
289,4,1062,210,2022-08-05,3,874.97,Delivered,90
290,3,1430,156,2022-01-06,1,192.85,Delivered,112
291,2,2861,70,2023-01-30,5,514.84,Delivered,57
292,8,940,963,2022-08-11,2,587.55,Delivered,125
293,4,496,1585,2022-06-11,3,826.94,Delivered,135
294,4,376,209,2025-04-11,4,696.44,Delivered,131
295,1,1398,835,2023-08-15,1,606.06,Delivered,88
296,4,2311,1044,2022-03-09,3,966.15,Delivered,56
297,6,2044,1531,2023-12-12,1,114.91,Delivered,70
298,5,385,1757,2022-03-20,5,555.88,Delivered,104
299,7,1711,1292,2022-07-06,1,631.21,Delivered,43
300,4,82,1241,2025-01-03,5,623.04,Delivered,112
301,5,1827,945,2025-02-22,5,960.07,Delivered,57
302,8,236,573,2022-06-29,2,413.25,Delivered,127
303,5,1393,1411,2022-01-20,5,847.59,Delivered,120
304,1,2591,846,2025-04-05,3,876.64,Delivered,74
305,3,1312,644,2023-12-07,4,926.25,Delivered,78
306,1,2038,713,2023-01-13,2,251.75,Delivered,82
307,6,76,693,2022-07-09,1,811.09,Delivered,95
308,4,1876,393,2023-07-11,2,171.84,Delivered,150
309,2,1028,852,2022-11-21,5,592.15,Delivered,33
310,4,1059,1376,2023-06-14,3,714.61,Delivered,133
311,4,586,138,2023-03-10,5,994.92,Delivered,42
312,8,805,1319,2024-12-08,5,505.91,Delivered,140
313,8,584,230,2025-05-17,1,818.78,Delivered,66
314,5,1827,1038,2023-03-19,4,564.49,Delivered,108
315,2,2307,118,2024-12-13,4,264.12,Delivered,70
316,6,2422,13,2023-07-27,3,405.29,Delivered,72
317,3,1097,1291,2023-04-11,3,179.01,Delivered,47
318,8,2936,1502,2023-10-09,4,938.89,Delivered,32
319,3,847,562,2022-12-07,5,268.25,Delivered,107
320,1,2469,714,2023-01-13,3,528.53,Delivered,149
321,6,1953,1837,2024-02-20,2,806.93,Delivered,124
322,1,1045,91,2022-05-09,1,723.43,Delivered,135
323,4,2615,1981,2024-10-22,5,238.62,Delivered,141
324,4,1068,958,2023-09-26,4,892.53,Delivered,92
325,6,2141,1069,2022-10-29,1,725.32,Delivered,57
326,5,502,466,2023-05-07,4,898.69,Delivered,122
327,4,2016,399,2024-09-25,4,535.44,Delivered,103
328,3,1610,1662,2022-03-19,4,296.06,Delivered,125
329,5,571,1086,2023-11-28,1,794.12,Delivered,100
330,2,923,728,2024-08-04,5,989.44,Delivered,129
331,5,1736,950,2022-11-24,1,633.23,Delivered,142
332,7,1920,1172,2022-08-04,4,879.03,Delivered,104
333,3,1165,615,2022-04-11,2,162.17,Delivered,126
334,6,275,285,2023-11-13,3,917.09,Delivered,61
335,4,1662,156,2023-06-03,1,659.41,Delivered,48
336,7,2796,1502,2022-09-15,4,700.51,Delivered,89
337,7,381,1857,2024-11-01,1,896.7,Delivered,36
338,8,2870,660,2023-09-25,4,202.75,Delivered,149
339,7,390,208,2022-10-05,5,175.79,Delivered,122
340,7,383,797,2022-03-19,5,246.42,Delivered,47
341,8,1223,1134,2022-09-27,2,693.43,Delivered,101
342,7,700,223,2023-05-08,2,541.0,Delivered,33
343,7,182,649,2024-08-29,4,985.24,Delivered,142
344,3,1910,1867,2023-01-01,5,207.67,Delivered,110
345,4,2567,1930,2023-06-17,4,208.55,Delivered,48
346,7,2572,513,2023-02-03,2,579.76,Delivered,46
347,7,466,1325,2022-11-15,4,155.2,Delivered,81
348,4,1344,226,2025-02-05,2,764.13,Delivered,143
349,4,503,1542,2024-10-10,4,442.55,Delivered,77
350,4,1742,71,2022-10-08,3,247.18,Delivered,57
351,4,2008,186,2024-02-28,2,300.75,Delivered,118
352,2,2433,510,2023-11-13,1,119.28,Delivered,142
353,1,1241,1426,2023-11-07,5,803.75,Delivered,107
354,4,274,1105,2022-07-29,1,691.8,Delivered,34
355,5,2420,659,2022-03-19,3,450.26,Delivered,33
356,6,27,1064,2022-08-29,4,352.55,Delivered,112
357,4,1969,1575,2024-06-18,2,683.66,Delivered,68
358,4,1387,180,2024-02-28,3,600.32,Delivered,139
359,7,974,1482,2024-04-10,3,241.57,Delivered,119
360,1,756,1609,2023-06-20,3,783.43,Delivered,31
361,8,2988,552,2022-01-31,4,567.62,Delivered,133
362,5,1732,1844,2022-12-08,5,867.79,Delivered,95
363,4,2454,568,2025-02-14,3,556.72,Delivered,48
364,4,422,7,2022-04-12,1,547.68,Delivered,97
365,4,1365,1183,2022-08-28,3,905.4,Delivered,104
366,4,947,1352,2023-04-03,1,291.72,Delivered,54
367,4,1422,244,2023-02-05,4,831.32,Delivered,112
368,3,2748,48,2022-05-26,2,894.25,Delivered,127
369,4,174,974,2022-09-18,5,728.62,Delivered,132
370,3,1397,574,2024-06-14,2,756.06,Delivered,84
371,2,2754,1829,2024-06-02,3,584.52,Delivered,44
372,5,2673,1693,2025-04-11,5,427.57,Delivered,75
373,4,2037,892,2023-02-09,4,386.97,Delivered,63
374,4,2200,1095,2022-01-13,5,910.99,Delivered,35
375,2,583,1226,2022-07-28,4,308.92,Delivered,45
376,6,1030,1986,2022-09-19,4,812.87,Delivered,117
377,2,1047,234,2024-03-11,2,182.53,Delivered,123
378,4,1519,1095,2024-03-06,3,820.71,Delivered,126
379,4,226,1835,2022-05-30,1,562.6,Delivered,91
380,4,197,1011,2024-04-01,2,492.23,Delivered,79
381,4,232,1286,2023-08-26,2,122.39,Delivered,84
382,4,1607,1207,2024-05-28,1,158.36,Delivered,112
383,6,1337,1300,2023-01-10,4,601.6,Delivered,94
384,2,1383,1928,2025-05-27,3,752.29,Delivered,130
385,2,517,739,2024-05-15,5,157.42,Delivered,92
386,3,673,292,2024-05-07,3,328.83,Delivered,42
387,3,1910,1409,2025-04-09,1,578.86,Delivered,103
388,4,124,1950,2024-10-26,5,129.06,Delivered,148
389,2,2696,1616,2023-06-09,3,646.19,Delivered,38
390,4,1815,476,2024-04-25,4,443.62,Delivered,81
391,5,1790,1728,2024-09-17,1,452.48,Delivered,114
392,4,1176,1053,2023-01-21,3,663.18,Delivered,130
393,4,932,1545,2025-01-20,3,667.84,Delivered,40
394,7,1428,1908,2024-03-12,2,533.61,Delivered,59
395,7,2994,36,2022-04-21,3,864.09,Delivered,125
396,2,2153,1730,2023-03-09,3,621.52,Delivered,59
397,4,362,900,2023-02-18,1,961.36,Delivered,150
398,1,797,436,2023-01-11,1,440.22,Delivered,144
399,3,1431,592,2025-02-07,1,662.0,Delivered,104
400,1,1768,1416,2022-08-07,2,532.21,Delivered,99
401,8,2000,828,2024-07-25,4,269.52,Delivered,124
402,2,1083,1577,2025-03-11,4,798.65,Delivered,77
403,2,2515,647,2023-10-23,2,891.53,Delivered,93
404,6,1260,1148,2024-04-25,2,771.95,Delivered,133
405,5,1794,983,2022-05-31,1,502.33,Delivered,54
406,1,1724,1606,2023-11-17,2,744.44,Delivered,98
407,6,1375,1561,2023-10-13,1,963.6,Delivered,54
408,8,143,596,2023-01-23,2,139.63,Delivered,109
409,1,483,245,2022-12-25,2,125.73,Delivered,108
410,4,2534,1764,2023-02-12,1,586.14,Delivered,116
411,6,400,1909,2023-04-14,4,220.69,Delivered,53
412,2,745,1683,2023-01-18,4,952.0,Delivered,114
413,4,1442,1913,2024-04-18,2,571.93,Delivered,106
414,3,1668,1969,2022-12-18,3,435.56,Delivered,49
415,8,1885,721,2024-01-16,3,839.58,Delivered,97
416,4,2389,867,2022-05-27,4,203.06,Delivered,37
417,5,2613,1330,2023-05-15,3,118.66,Delivered,89
418,7,2814,809,2024-04-10,3,140.47,Delivered,145
419,3,2196,1197,2024-06-29,1,160.82,Delivered,42
420,7,182,830,2023-12-05,1,637.29,Delivered,59
421,4,2587,1963,2024-08-16,3,601.44,Delivered,110
422,4,435,1746,2023-07-27,4,327.67,Delivered,83
423,4,2937,44,2022-12-18,2,305.82,Delivered,136
424,4,475,335,2025-05-27,2,907.44,Delivered,94
425,2,2105,1815,2022-11-15,2,276.58,Delivered,50
426,7,1752,1330,2022-07-12,5,487.55,Delivered,143
427,4,2014,1167,2022-07-17,2,990.59,Delivered,119
428,7,2755,1033,2024-06-17,2,788.01,Delivered,94
429,4,1906,1090,2022-03-25,5,492.81,Delivered,92
430,1,2761,1690,2022-08-12,2,889.24,Delivered,114
431,1,1769,1499,2023-07-08,4,533.68,Delivered,44
432,2,511,742,2023-04-07,5,694.61,Delivered,128
433,4,2096,1308,2023-06-24,4,469.85,Delivered,115
434,4,2146,2002,2022-10-05,2,842.78,Delivered,95
435,4,354,405,2023-10-24,5,611.07,Delivered,41
436,5,65,100,2024-11-06,5,806.4,Delivered,131
437,4,972,1678,2022-07-05,2,445.4,Delivered,44
438,1,2601,91,2022-11-26,2,220.48,Delivered,59
439,4,680,866,2022-12-25,2,854.11,Delivered,87
440,6,1528,1449,2024-08-07,2,651.58,Delivered,45
441,1,2648,361,2022-08-13,1,154.47,Delivered,123
442,2,1476,357,2023-08-25,3,934.96,Delivered,87
443,1,696,1177,2024-07-10,3,294.25,Delivered,109
444,4,2579,829,2022-05-27,5,570.4,Delivered,107
445,8,2128,1459,2024-06-16,3,283.52,Delivered,128
446,6,742,1829,2024-01-13,3,191.25,Delivered,134
447,4,1543,1270,2025-01-01,1,646.39,Delivered,64
448,5,624,1718,2024-03-04,3,659.09,Delivered,129
449,3,349,179,2022-07-25,3,555.06,Delivered,142
450,6,1637,1824,2024-05-16,2,297.55,Delivered,53
451,2,2197,1638,2025-04-30,4,935.47,Delivered,57
452,6,1001,231,2023-01-10,3,669.1,Delivered,113
453,3,973,609,2023-09-25,1,371.03,Delivered,71
454,4,2276,539,2023-10-14,1,902.88,Delivered,148
455,4,1036,738,2025-05-19,1,809.7,Delivered,41
456,6,1128,1451,2024-10-17,2,388.24,Delivered,101
457,3,2913,1565,2023-07-06,5,720.7,Delivered,31
458,8,2794,1915,2024-12-04,5,511.79,Delivered,53
459,5,2742,585,2022-10-06,3,664.17,Delivered,61
460,1,872,1621,2023-06-15,5,816.96,Delivered,130
461,2,2264,587,2022-06-29,4,556.4,Delivered,80
462,4,1039,1958,2025-01-29,3,229.81,Delivered,124
463,4,944,569,2023-09-07,5,176.37,Delivered,113
464,4,537,642,2024-02-08,4,523.01,Delivered,65
465,6,1864,1815,2022-06-15,2,396.44,Delivered,39
466,4,1198,237,2024-01-26,4,369.18,Delivered,84
467,7,320,1176,2022-11-22,1,449.59,Delivered,64
468,4,375,1476,2023-01-14,4,466.44,Delivered,76
469,2,5,1494,2023-04-21,2,715.64,Delivered,126
470,7,34,528,2024-02-09,2,240.68,Delivered,128
471,4,494,1679,2024-08-27,2,949.03,Delivered,35
472,2,1801,1401,2022-02-26,5,862.07,Delivered,62
473,3,703,1165,2023-12-25,3,300.67,Delivered,136
474,2,9,1994,2022-06-26,4,423.04,Delivered,91
475,4,1876,774,2023-06-26,4,428.92,Delivered,137
476,8,2028,753,2023-08-05,2,155.71,Delivered,51
